Time,Crack Length,Force,Temperature
0.0,-0.06916271801919144,1700.0,473.0
1.0,-0.0691353180798043,1700.0,473.0
2.0,-0.06910791752131816,1700.0,473.0
3.0,-0.06908051634373309,1700.0,473.0
4.0,-0.06905311454704896,1700.0,473.0
5.0,-0.06902571213126586,1700.0,473.0
6.0,-0.06899830909638374,1700.0,473.0
6.999999999999999,-0.0689709054424027,1700.0,473.0
8.0,-0.0689435011693226,1700.0,473.0
9.0,-0.06891609627714351,1700.0,473.0
10.0,-0.06888869076586544,1700.0,473.0
11.0,-0.0688612846354884,1700.0,473.0
12.0,-0.06883387788601235,1700.0,473.0
13.0,-0.06880647051743728,1700.0,473.0
13.999999999999998,-0.06877906252976322,1700.0,473.0
15.0,-0.06875165392299022,1700.0,473.0
16.0,-0.06872424469711819,1700.0,473.0
17.0,-0.06869683485214716,1700.0,473.0
18.0,-0.06866942438807712,1700.0,473.0
19.0,-0.06864201330490816,1700.0,473.0
20.0,-0.06861460160264013,1700.0,473.0
21.0,-0.06858718928127312,1700.0,473.0
22.0,-0.06855977634080711,1700.0,473.0
23.0,-0.06853236278124213,1700.0,473.0
24.0,-0.06850494860257818,1700.0,473.0
25.0,-0.0684775338048152,1700.0,473.0
26.0,-0.06845011838795323,1700.0,473.0
27.0,-0.06842270235199224,1700.0,473.0
27.999999999999996,-0.06839528569693235,1700.0,473.0
29.000000000000004,-0.06836786842277337,1700.0,473.0
30.0,-0.06834045052951543,1700.0,473.0
30.999999999999996,-0.06831303201715848,1700.0,473.0
32.0,-0.06828561288570259,1700.0,473.0
33.0,-0.06825819313514765,1700.0,473.0
34.0,-0.06823077276549373,1700.0,473.0
35.0,-0.06820335177674082,1700.0,473.0
36.0,-0.06817593016888895,1700.0,473.0
37.0,-0.06814850794193805,1700.0,473.0
38.0,-0.06812108509588814,1700.0,473.0
39.0,-0.06809366163073925,1700.0,473.0
40.0,-0.06806623754649137,1700.0,473.0
41.0,-0.06803881284314454,1700.0,473.0
42.0,-0.06801138752069867,1700.0,473.0
43.0,-0.06798396157915379,1700.0,473.0
44.0,-0.06795653501850994,1700.0,473.0
45.0,-0.06792910783876713,1700.0,473.0
46.0,-0.06790168003992529,1700.0,473.0
47.0,-0.06787425162198443,1700.0,473.0
48.0,-0.06784682258494461,1700.0,473.0
49.0,-0.06781939292880583,1700.0,473.0
50.0,-0.06779196265356802,1700.0,473.0
51.0,-0.0677645317592312,1700.0,473.0
52.0,-0.06773710024579538,1700.0,473.0
53.0,-0.06770966811326064,1700.0,473.0
54.0,-0.06768223536162683,1700.0,473.0
55.00000000000001,-0.06765480199089405,1700.0,473.0
55.99999999999999,-0.06762736800106225,1700.0,473.0
57.0,-0.06759993339213154,1700.0,473.0
58.00000000000001,-0.06757249816410177,1700.0,473.0
58.99999999999999,-0.067545062316973,1700.0,473.0
60.0,-0.06751762585074525,1700.0,473.0
61.00000000000001,-0.0674901887654185,1700.0,473.0
61.99999999999999,-0.06746275106099281,1700.0,473.0
63.0,-0.06743531273746806,1700.0,473.0
64.0,-0.06740787379484434,1700.0,473.0
65.0,-0.06738043423312161,1700.0,473.0
66.0,-0.06735299405229994,1700.0,473.0
67.0,-0.06732555325237924,1700.0,473.0
68.0,-0.06729811183335953,1700.0,473.0
69.0,-0.06727066979524084,1700.0,473.0
70.0,-0.06724322713802318,1700.0,473.0
71.0,-0.0672157838617065,1700.0,473.0
72.0,-0.06718833996629081,1700.0,473.0
73.0,-0.06716089545177614,1700.0,473.0
74.0,-0.06713345031816252,1700.0,473.0
75.0,-0.06710600456544988,1700.0,473.0
76.0,-0.06707855819363823,1700.0,473.0
77.0,-0.06705111120272757,1700.0,473.0
78.0,-0.06702366359271798,1700.0,473.0
79.0,-0.06699621536360935,1700.0,473.0
80.0,-0.06696876651540172,1700.0,473.0
81.0,-0.0669413170480951,1700.0,473.0
82.0,-0.06691386696168948,1700.0,473.0
83.0,-0.06688641625618494,1700.0,473.0
84.0,-0.06685896493158132,1700.0,473.0
85.0,-0.06683151298787873,1700.0,473.0
86.0,-0.06680406042507714,1700.0,473.0
87.0,-0.06677660724317662,1700.0,473.0
88.0,-0.06674915344217704,1700.0,473.0
89.0,-0.06672169902207846,1700.0,473.0
90.0,-0.06669424398288089,1700.0,473.0
91.0,-0.06666678832458439,1700.0,473.0
92.0,-0.06663933204718886,1700.0,473.0
93.0,-0.0666118751506943,1700.0,473.0
94.0,-0.06658441763510077,1700.0,473.0
95.0,-0.06655695950040828,1700.0,473.0
96.0,-0.06652950074661676,1700.0,473.0
97.0,-0.06650204137372624,1700.0,473.0
98.0,-0.06647458138173673,1700.0,473.0
99.0,-0.06644712077064822,1700.0,473.0
100.0,-0.06641965954046078,1700.0,473.0
101.0,-0.0663921976911743,1700.0,473.0
102.0,-0.06636473522278881,1700.0,473.0
103.0,-0.06633727213530433,1700.0,473.0
104.0,-0.0663098084287209,1700.0,473.0
105.0,-0.06628234410303845,1700.0,473.0
106.0,-0.06625487915825698,1700.0,473.0
107.0,-0.06622741359437653,1700.0,473.0
108.0,-0.06619994741139715,1700.0,473.0
109.0,-0.0661724806093187,1700.0,473.0
110.00000000000001,-0.06614501318814127,1700.0,473.0
111.00000000000001,-0.06611754514786483,1700.0,473.0
111.99999999999999,-0.06609007648848947,1700.0,473.0
113.0,-0.06606260721001504,1700.0,473.0
114.0,-0.06603513731244165,1700.0,473.0
115.0,-0.06600766679576923,1700.0,473.0
116.00000000000001,-0.06598019565999791,1700.0,473.0
117.00000000000001,-0.06595272390512752,1700.0,473.0
