# time(sec)	crack length FEA(mm)
1.048769531250000000e+04	6.474139461161865228e-01
1.048789031249999971e+04	6.694416416404145309e-01
1.048808631249999962e+04	6.715519661820241737e-01
1.048828131249999933e+04	6.932774663012217786e-01
1.048847631250000086e+04	6.774355970391088277e-01
1.048867231250000077e+04	7.235574021593080829e-01
1.048886731250000048e+04	7.212041284464483226e-01
1.048906231250000019e+04	6.649682456621910376e-01
1.048925831250000010e+04	7.078743084449996559e-01
1.048945331249999981e+04	6.671433096672316765e-01
1.048964831249999952e+04	6.763268825782038363e-01
1.048984331249999923e+04	7.127485078105308958e-01
1.049003931249999914e+04	7.481921571796945614e-01
1.049023431250000067e+04	7.174079413986351739e-01
1.049042931250000038e+04	6.714327383019593753e-01
1.049062531250000029e+04	6.956449979821890395e-01
1.049082031250000000e+04	7.028400223340049990e-01
1.049101531249999971e+04	6.819509777921801685e-01
1.049121131249999962e+04	6.917962881750732151e-01
1.049140631249999933e+04	6.973746658670325616e-01
1.049160131250000086e+04	7.381760503246752592e-01
1.049179731250000077e+04	6.770547831391677818e-01
1.049199231250000048e+04	6.598670366084924410e-01
1.049218731250000019e+04	7.025702636215100938e-01
1.049238331250000010e+04	7.427012195075448631e-01
1.049257831249999981e+04	6.688211977598790270e-01
1.049277331249999952e+04	6.854469025873921595e-01
1.049296831249999923e+04	6.935958000217077313e-01
1.049316431249999914e+04	6.871108406500461285e-01
1.049335931250000067e+04	6.438059103027615748e-01
1.049355431250000038e+04	7.096210150195325639e-01
1.049375031250000029e+04	7.506500750833602353e-01
1.049394531250000000e+04	6.866869821061669654e-01
1.049414031249999971e+04	7.088572479028556472e-01
1.049433631249999962e+04	6.777509485212185325e-01
1.049453131249999933e+04	6.622800239939756750e-01
1.049472631250000086e+04	6.769819759394728464e-01
1.049492231250000077e+04	7.382118156118515628e-01
1.049511731250000048e+04	7.874151422231072672e-01
1.049531231250000019e+04	6.882770385271559377e-01
1.049550831250000010e+04	6.889096664932949921e-01
1.049570331249999981e+04	7.139029095898088428e-01
1.049589831249999952e+04	6.786074954975074291e-01
1.049609331249999923e+04	7.224402876175837207e-01
1.049628931249999914e+04	7.237163759414872999e-01
1.049648431250000067e+04	7.660764392237506826e-01
1.049667931250000038e+04	6.671697339257836035e-01
1.049687531250000029e+04	7.391293756012515814e-01
1.049707031250000000e+04	7.269220920017378518e-01
1.049726531249999971e+04	7.020054279562604194e-01
1.049746131249999962e+04	7.044206059636355377e-01
1.049765631249999933e+04	7.150320151157387727e-01
1.049785131250000086e+04	7.052940718513429630e-01
1.049804731250000077e+04	6.746516862666673831e-01
1.049824231250000048e+04	6.625523329322842159e-01
1.049843731250000019e+04	6.887388721482867737e-01
1.049863331250000010e+04	7.166318081095468528e-01
1.049882831249999981e+04	7.243396266977324416e-01
1.049902331249999952e+04	7.404666486411048965e-01
1.049921831249999923e+04	7.149140224239030061e-01
1.049941431249999914e+04	6.720162197581380781e-01
1.049960931250000067e+04	6.920693539765707669e-01
1.049980431250000038e+04	6.903993883207331095e-01
1.050000031250000029e+04	6.971691101974926141e-01
