# time(sec)	crack length FEA(mm)
1.508613249999999971e+04	4.716894328521359370e-01
1.508632849999999962e+04	4.836164768024620031e-01
1.508652349999999933e+04	4.911312954751991811e-01
1.508671850000000086e+04	4.446575403419572581e-01
1.508691450000000077e+04	5.243906151724395670e-01
1.508710950000000048e+04	4.927000979080027321e-01
1.508730450000000019e+04	5.658188041624043763e-01
1.508750050000000010e+04	5.372013432235007713e-01
1.508769549999999981e+04	4.978766583265468171e-01
1.508789049999999952e+04	5.428892999967800392e-01
1.508808549999999923e+04	5.054572409873365757e-01
1.508828149999999914e+04	5.157816323335673303e-01
1.508847650000000067e+04	5.279951044455462039e-01
1.508867150000000038e+04	5.522055316039100603e-01
1.508886750000000029e+04	5.184211927430677491e-01
1.508906250000000000e+04	5.124695135491563747e-01
1.508925749999999971e+04	5.210722152226558990e-01
1.508945349999999962e+04	5.249796838032150248e-01
1.508964849999999933e+04	5.376829902393431837e-01
1.508984350000000086e+04	4.525110949295481078e-01
1.509003950000000077e+04	5.255985070422717342e-01
1.509023450000000048e+04	5.449989039973939242e-01
1.509042950000000019e+04	5.125162201713440169e-01
1.509062550000000010e+04	5.245349613616490103e-01
1.509082049999999981e+04	5.089253989150144264e-01
1.509101549999999952e+04	5.236284320781976476e-01
1.509121049999999923e+04	5.294501035048320148e-01
1.509140649999999914e+04	5.291158231761379227e-01
1.509160150000000067e+04	5.771441795583154288e-01
1.509179650000000038e+04	4.927192520748295834e-01
1.509199250000000029e+04	5.298459393522580996e-01
1.509218750000000000e+04	5.049728448413208781e-01
1.509238249999999971e+04	5.182768106344859405e-01
1.509257849999999962e+04	5.463235637524181953e-01
1.509277349999999933e+04	5.618033404296198796e-01
1.509296850000000086e+04	5.384839494327984255e-01
1.509316450000000077e+04	4.649240875398206185e-01
1.509335950000000048e+04	5.669378056885854278e-01
1.509355450000000019e+04	4.938904490134099490e-01
1.509375050000000010e+04	5.297536219818574921e-01
1.509394549999999981e+04	5.124641860694278961e-01
1.509414049999999952e+04	5.529477207068289601e-01
1.509433549999999923e+04	5.206634617669259057e-01
1.509453149999999914e+04	5.150234236516411102e-01
1.509472650000000067e+04	5.514251669280945123e-01
1.509492150000000038e+04	5.287507341581036968e-01
1.509511750000000029e+04	5.285872865094773942e-01
1.509531250000000000e+04	5.693526031808353594e-01
1.509550749999999971e+04	5.230085197066287606e-01
1.509570349999999962e+04	5.448260076935529383e-01
1.509589849999999933e+04	5.291020212179748938e-01
1.509609350000000086e+04	5.210499278793285782e-01
1.509628950000000077e+04	4.747634510046889744e-01
1.509648450000000048e+04	5.406745272365078847e-01
1.509667950000000019e+04	5.437590580386988393e-01
1.509687550000000010e+04	5.609215213386153920e-01
1.509707049999999981e+04	5.677208806685882791e-01
1.509726549999999952e+04	5.245848545601141666e-01
1.509746049999999923e+04	5.446372488719415372e-01
1.509765649999999914e+04	5.060085762912418517e-01
1.509785150000000067e+04	5.544617106497220504e-01
1.509804650000000038e+04	5.400985464229908217e-01
1.509824250000000029e+04	5.548338029279786809e-01
1.509843750000000000e+04	5.424660855022231942e-01
1.509863249999999971e+04	4.894561092090832233e-01
1.509882849999999962e+04	5.475685453593328589e-01
1.509902349999999933e+04	4.927830322387887207e-01
1.509921850000000086e+04	5.685155442595490882e-01
1.509941450000000077e+04	5.806361091340423997e-01
1.509960950000000048e+04	5.510742447409171518e-01
1.509980450000000019e+04	5.391013480832498317e-01
1.510000050000000010e+04	4.871206434435855215e-01
1.510019549999999981e+04	5.312510130223664362e-01
1.510039049999999952e+04	5.051215482824051861e-01
1.510058549999999923e+04	5.380012336940112050e-01
1.510078149999999914e+04	5.308211804802596134e-01
1.510097650000000067e+04	5.266853829880915328e-01
1.510117150000000038e+04	5.059405964886707352e-01
1.510136750000000029e+04	4.964590777193027549e-01
1.510156250000000000e+04	5.079683760118296476e-01
1.510175749999999971e+04	4.847817414132862268e-01
1.510195349999999962e+04	5.309368569837857876e-01
1.510214849999999933e+04	5.267681936515078434e-01
1.510234350000000086e+04	5.359271548481636671e-01
1.510253950000000077e+04	5.146847054630718787e-01
1.510273450000000048e+04	5.174656247869879877e-01
1.510292950000000019e+04	5.033293911150842348e-01
1.510312550000000010e+04	5.055294743627527509e-01
1.510332049999999981e+04	5.082657913912846936e-01
1.510351549999999952e+04	5.264826812178196036e-01
1.510371049999999923e+04	5.362348310915372451e-01
1.510390649999999914e+04	5.053042964259724101e-01
1.510410150000000067e+04	5.161564273399932290e-01
1.510429650000000038e+04	5.020555625135880717e-01
1.510449250000000029e+04	5.241910493107724278e-01
1.510468750000000000e+04	5.057791140486074255e-01
1.510488249999999971e+04	5.198958918958425102e-01
1.510507849999999962e+04	5.727470904925962003e-01
1.510527349999999933e+04	5.417437886495939381e-01
1.510546850000000086e+04	5.414785961172015050e-01
1.510566450000000077e+04	5.476862563326605482e-01
1.510585950000000048e+04	5.345923731110637789e-01
1.510605450000000019e+04	5.388754023181050457e-01
1.510625050000000010e+04	5.317911233983245722e-01
1.510644549999999981e+04	5.800260963106769196e-01
1.510664049999999952e+04	5.289491781429447315e-01
1.510683549999999923e+04	5.601848997677745245e-01
1.510703149999999914e+04	5.211157502613410486e-01
1.510722650000000067e+04	5.138776427275999481e-01
1.510742150000000038e+04	5.259891351181984476e-01
1.510761750000000029e+04	5.742026406650779791e-01
1.510781250000000000e+04	5.417586131054914489e-01
1.510800749999999971e+04	5.404835678269463983e-01
1.510820349999999962e+04	5.808182412526896599e-01
1.510839849999999933e+04	5.493553648462050631e-01
1.510859350000000086e+04	5.566381686965353737e-01
1.510878950000000077e+04	5.292559025848415644e-01
1.510898450000000048e+04	5.242164886458660078e-01
1.510917950000000019e+04	5.473691678077869938e-01
1.510937550000000010e+04	5.121625703811627517e-01
1.510957049999999981e+04	5.368968323048388669e-01
1.510976549999999952e+04	5.444643500199859432e-01
1.510996049999999923e+04	5.218163765513583741e-01
1.511015649999999914e+04	5.217771286570247469e-01
1.511035150000000067e+04	5.757492209478130007e-01
1.511054650000000038e+04	5.703824185588572959e-01
1.511074250000000029e+04	5.171396635797655961e-01
1.511093750000000000e+04	5.729600390930293941e-01
1.511113249999999971e+04	5.366783027932129357e-01
1.511132849999999962e+04	5.608515720563094220e-01
1.511152349999999933e+04	5.288271290829786864e-01
1.511171850000000086e+04	5.856099007009163415e-01
1.511191450000000077e+04	5.492832602332100578e-01
1.511210950000000048e+04	5.951395751833068459e-01
1.511230450000000019e+04	5.608939622738660091e-01
1.511250050000000010e+04	5.198386022506298332e-01
1.511269549999999981e+04	5.196113848400845114e-01
1.511289049999999952e+04	5.207983184206828042e-01
1.511308549999999923e+04	5.201496354489414387e-01
1.511328149999999914e+04	5.664980756310740162e-01
1.511347650000000067e+04	5.290001380953199828e-01
1.511367150000000038e+04	5.430006830074685098e-01
1.511386750000000029e+04	5.224320788068048671e-01
1.511406250000000000e+04	5.439255479133375815e-01
1.511425749999999971e+04	5.091112755739235496e-01
1.511445349999999962e+04	5.512014476689675035e-01
1.511464849999999933e+04	5.414128282902126443e-01
1.511484350000000086e+04	5.184350007026967688e-01
1.511503950000000077e+04	5.812863421471359260e-01
1.511523450000000048e+04	5.530813163676242539e-01
1.511542950000000019e+04	5.009028067650707072e-01
1.511562550000000010e+04	5.133615490844114504e-01
1.511582049999999981e+04	5.231507585399874927e-01
1.511601549999999952e+04	5.373127520475549090e-01
1.511621049999999923e+04	5.144723451856521024e-01
1.511640649999999914e+04	5.444919366610321276e-01
1.511660150000000067e+04	5.154959830939240817e-01
1.511679650000000038e+04	5.176514368840017255e-01
1.511699250000000029e+04	5.103167619506834285e-01
1.511718750000000000e+04	5.321487201930619193e-01
1.511738249999999971e+04	5.698770678693687586e-01
1.511757849999999962e+04	4.837397733388737464e-01
1.511777349999999933e+04	5.796458711015066712e-01
1.511796850000000086e+04	4.965664267157148259e-01
1.511816450000000077e+04	5.269146501404708971e-01
1.511835950000000048e+04	5.257673082944940290e-01
1.511855450000000019e+04	5.213312083548160558e-01
1.511875050000000010e+04	5.287496493119920871e-01
1.511894549999999981e+04	4.988468067466271805e-01
1.511914049999999952e+04	5.508547575705584620e-01
1.511933549999999923e+04	5.342560482531037991e-01
1.511953149999999914e+04	5.359876149925586475e-01
1.511972650000000067e+04	4.905296735858311052e-01
1.511992150000000038e+04	5.338326848936958413e-01
1.512011750000000029e+04	5.538828568377685002e-01
1.512031250000000000e+04	5.040900775899004316e-01
1.512050749999999971e+04	5.747482028674291143e-01
1.512070349999999962e+04	5.374517002421583811e-01
1.512089849999999933e+04	5.226369842325784276e-01
1.512109350000000086e+04	5.265017543833074853e-01
1.512128950000000077e+04	5.320977667735142802e-01
1.512148450000000048e+04	5.250094076609315152e-01
1.512167950000000019e+04	5.050058049599410737e-01
1.512187550000000010e+04	5.576377504381380135e-01
1.512207049999999981e+04	5.338952647468904189e-01
1.512226549999999952e+04	5.457275185292402853e-01
1.512246049999999923e+04	5.085398278709529762e-01
1.512265649999999914e+04	5.434376821925539502e-01
1.512285150000000067e+04	5.793896035312897652e-01
1.512304650000000038e+04	5.357000862141099162e-01
1.512324250000000029e+04	5.819100958577738680e-01
1.512343750000000000e+04	5.618362243539039014e-01
1.512363249999999971e+04	5.407042412144331678e-01
1.512382849999999962e+04	5.511092105835952992e-01
1.512402349999999933e+04	5.221614069801958635e-01
1.512421850000000086e+04	5.445831691427560628e-01
1.512441450000000077e+04	5.610391773475598143e-01
1.512460950000000048e+04	6.268470965071397671e-01
1.512480450000000019e+04	5.535584078641448968e-01
1.512500050000000010e+04	5.303182138019852943e-01
1.512519549999999981e+04	5.719800652524931195e-01
1.512539049999999952e+04	5.705445595940012993e-01
1.512558549999999923e+04	5.725680378802451287e-01
1.512578149999999914e+04	5.526964379475085565e-01
1.512597650000000067e+04	6.000215671737247902e-01
1.512617150000000038e+04	5.697541392172098540e-01
1.512636750000000029e+04	5.557105683981689026e-01
1.512656250000000000e+04	5.526847621755450746e-01
1.512675749999999971e+04	5.760712017161893073e-01
1.512695349999999962e+04	5.720330562600679514e-01
1.512714849999999933e+04	5.152485582033978773e-01
1.512734350000000086e+04	5.543154275436812384e-01
1.512753950000000077e+04	5.448005897023566746e-01
1.512773450000000048e+04	5.645270486896016848e-01
1.512792950000000019e+04	5.136557065483486895e-01
1.512812550000000010e+04	5.660773892141826025e-01
1.512832049999999981e+04	5.777902746483967178e-01
1.512851549999999952e+04	5.455100970721975528e-01
1.512871049999999923e+04	5.519659173608371106e-01
1.512890649999999914e+04	5.616762015864917856e-01
1.512910150000000067e+04	5.356045827885740351e-01
1.512929650000000038e+04	5.797718887335694404e-01
1.512949250000000029e+04	5.473373485055184062e-01
1.512968750000000000e+04	6.116738150218523629e-01
1.512988249999999971e+04	5.666814051573716426e-01
1.513007849999999962e+04	6.203982704938262316e-01
1.513027349999999933e+04	5.801182155435906651e-01
1.513046850000000086e+04	5.424724907189304446e-01
1.513066450000000077e+04	5.679508023063011279e-01
1.513085950000000048e+04	5.928659991566753718e-01
1.513105450000000019e+04	5.772607204940616299e-01
1.513125050000000010e+04	5.329264987127793063e-01
1.513144549999999981e+04	5.888126345891837587e-01
1.513164049999999952e+04	5.634058250881484042e-01
1.513183549999999923e+04	4.725148754284376196e-01
1.513203149999999914e+04	5.688811341931216958e-01
1.513222650000000067e+04	5.947447922174085022e-01
1.513242150000000038e+04	5.989040765611779449e-01
1.513261750000000029e+04	5.487774744827422779e-01
1.513281250000000000e+04	5.455111811779289610e-01
1.513300749999999971e+04	5.775890228548501426e-01
