# time(sec)	crack length FEA(mm)
1.369277349999999933e+04	4.929806711819182397e-01
1.369296850000000086e+04	4.670042252262778248e-01
1.369316450000000077e+04	4.982357985196728123e-01
1.369335950000000048e+04	4.850645237042510161e-01
1.369355450000000019e+04	4.752803547183646060e-01
1.369375050000000010e+04	4.699831332735637801e-01
1.369394549999999981e+04	4.784666968292263789e-01
1.369414049999999952e+04	4.641505362612896590e-01
1.369433549999999923e+04	4.277131998635663734e-01
1.369453149999999914e+04	5.186983171906138779e-01
1.369472650000000067e+04	4.541451685196751242e-01
1.369492150000000038e+04	4.552543507182384985e-01
1.369511750000000029e+04	4.528826385901894014e-01
1.369531250000000000e+04	4.903277053131631646e-01
1.369550749999999971e+04	4.999539597923359224e-01
1.369570349999999962e+04	4.797789334032120934e-01
1.369589849999999933e+04	4.635887201972987981e-01
1.369609350000000086e+04	4.835282326356633575e-01
1.369628950000000077e+04	4.789335370691887306e-01
1.369648450000000048e+04	4.447150325932742732e-01
1.369667950000000019e+04	5.061636881600612980e-01
1.369687550000000010e+04	4.692448049337532012e-01
1.369707049999999981e+04	5.299435800682132935e-01
1.369726549999999952e+04	4.697692903671040199e-01
1.369746049999999923e+04	4.729286690893559353e-01
1.369765649999999914e+04	4.658753270989102191e-01
1.369785150000000067e+04	5.036034734786003497e-01
1.369804650000000038e+04	4.866932532334864447e-01
1.369824250000000029e+04	4.944462886137195312e-01
1.369843750000000000e+04	4.801681614832062905e-01
1.369863249999999971e+04	4.426032181799559595e-01
1.369882849999999962e+04	5.121508844434519148e-01
1.369902349999999933e+04	3.817208860175469454e-01
1.369921850000000086e+04	4.750878544171310836e-01
1.369941450000000077e+04	4.587476505884922062e-01
1.369960950000000048e+04	4.280691254544048974e-01
1.369980450000000019e+04	4.330206028593064360e-01
1.370000050000000010e+04	4.200063176988955149e-01
1.370019549999999981e+04	4.619063214561585085e-01
1.370039049999999952e+04	4.502306654342707048e-01
1.370058549999999923e+04	4.396710942569992397e-01
1.370078149999999914e+04	4.959553527300748499e-01
