# time(sec)	crack length FEA(mm)
3.626699250000000029e+04	1.374590415111885733e+00
3.626718750000000000e+04	1.306726766274033835e+00
3.626738249999999971e+04	1.361132026206080425e+00
3.626757850000000326e+04	1.341050394286384062e+00
3.626777350000000297e+04	1.353008952303046186e+00
3.626796850000000268e+04	1.331611768196076184e+00
3.626816449999999895e+04	1.330313339124341354e+00
3.626835949999999866e+04	1.304559675174841615e+00
3.626855449999999837e+04	1.309326076160900243e+00
3.626875050000000192e+04	1.329300343473047263e+00
3.626894550000000163e+04	1.329720130513383225e+00
3.626914050000000134e+04	1.304922356699707464e+00
3.626933550000000105e+04	1.348727343268858903e+00
3.626953149999999732e+04	1.345401077062522432e+00
3.626972649999999703e+04	1.293966356997298561e+00
3.626992149999999674e+04	1.321118947622457185e+00
3.627011750000000029e+04	1.332231641987071669e+00
3.627031250000000000e+04	1.340304549814728574e+00
3.627050749999999971e+04	1.285819896632744985e+00
3.627070350000000326e+04	1.332932694115879002e+00
3.627089850000000297e+04	1.340950896851110130e+00
3.627109350000000268e+04	1.262999697914397146e+00
3.627128949999999895e+04	1.288832941937998910e+00
3.627148449999999866e+04	1.267017958118771048e+00
3.627167949999999837e+04	1.307900034706520387e+00
3.627187550000000192e+04	1.343184331898900297e+00
3.627207050000000163e+04	1.294819550727082103e+00
3.627226550000000134e+04	1.296268990677516442e+00
3.627246050000000105e+04	1.279778509849728962e+00
3.627265649999999732e+04	1.332256327277288932e+00
3.627285149999999703e+04	1.353505210315965712e+00
3.627304649999999674e+04	1.323591428388532165e+00
3.627324250000000029e+04	1.294080535929381881e+00
3.627343750000000000e+04	1.300933169775754905e+00
3.627363249999999971e+04	1.336576822387076646e+00
3.627382850000000326e+04	1.359768572486817817e+00
3.627402350000000297e+04	1.294741491234612241e+00
3.627421850000000268e+04	1.384738766314450586e+00
3.627441449999999895e+04	1.311246007644527367e+00
3.627460949999999866e+04	1.320232837681654559e+00
3.627480449999999837e+04	1.307594852877544511e+00
3.627500050000000192e+04	1.339867413815218455e+00
3.627519550000000163e+04	1.328201948922442810e+00
