# time(sec)	crack length FEA(mm)
1.843046849999999904e+04	6.202576304770452964e-01
1.843066449999999895e+04	6.372070798041562512e-01
1.843085949999999866e+04	6.478625755207012560e-01
1.843105449999999837e+04	6.623114410024086851e-01
1.843125049999999828e+04	6.278988004752257268e-01
1.843144550000000163e+04	6.158936821598803846e-01
1.843164050000000134e+04	6.027790557935297500e-01
1.843183550000000105e+04	6.406597787220320583e-01
1.843203150000000096e+04	6.117542311405124167e-01
1.843222650000000067e+04	6.435637442933064278e-01
1.843242150000000038e+04	6.233723107467881164e-01
1.843261750000000029e+04	6.321126709769249175e-01
1.843281250000000000e+04	6.442154994819659919e-01
1.843300749999999971e+04	6.117076586923246850e-01
1.843320349999999962e+04	6.394976256380839885e-01
1.843339849999999933e+04	5.914115580032515140e-01
1.843359349999999904e+04	6.041122372047169620e-01
1.843378949999999895e+04	6.672845235234703409e-01
1.843398449999999866e+04	6.621214832441779663e-01
1.843417949999999837e+04	6.528860611631408517e-01
1.843437549999999828e+04	6.598900329013428490e-01
1.843457050000000163e+04	6.193504761071810805e-01
1.843476550000000134e+04	6.260701339411731681e-01
1.843496050000000105e+04	6.286978945144987563e-01
1.843515650000000096e+04	6.687259687452140611e-01
1.843535150000000067e+04	6.323399275187018276e-01
1.843554650000000038e+04	6.249125893081739491e-01
1.843574250000000029e+04	6.311340384213472987e-01
1.843593750000000000e+04	6.278723881241141669e-01
1.843613249999999971e+04	6.557685742986603117e-01
1.843632849999999962e+04	6.255881156190579162e-01
1.843652349999999933e+04	6.320587841590707967e-01
1.843671849999999904e+04	6.252160168296256870e-01
1.843691449999999895e+04	6.300021179498376256e-01
1.843710949999999866e+04	6.235827123301760366e-01
1.843730449999999837e+04	6.379614615012805245e-01
1.843750049999999828e+04	6.901935933628262632e-01
1.843769550000000163e+04	5.941573427921564843e-01
1.843789050000000134e+04	6.337749972830426515e-01
1.843808550000000105e+04	6.372662102887503011e-01
1.843828150000000096e+04	6.092896672040524209e-01
1.843847650000000067e+04	6.551129195201692568e-01
1.843867150000000038e+04	6.428211685830564903e-01
1.843886750000000029e+04	6.695131941243630536e-01
1.843906250000000000e+04	6.516273977238036252e-01
1.843925749999999971e+04	6.177400054498978221e-01
1.843945349999999962e+04	6.275214797601655903e-01
1.843964849999999933e+04	6.444985625077706004e-01
1.843984349999999904e+04	6.634682917739915808e-01
1.844003949999999895e+04	7.164862409878391958e-01
1.844023449999999866e+04	6.526305604152682349e-01
1.844042949999999837e+04	6.586791751776566173e-01
1.844062549999999828e+04	6.685391972640708502e-01
1.844082050000000163e+04	6.538427434256615101e-01
