# time(sec)	crack length FEA(mm)
2.414375049999999828e+04	8.228365935608152881e-01
2.414394550000000163e+04	7.260554717939431413e-01
2.414414050000000134e+04	8.016603371107517972e-01
2.414433550000000105e+04	7.799371245834656463e-01
2.414453150000000096e+04	7.816125082428300175e-01
2.414472650000000067e+04	7.508233805422843687e-01
2.414492150000000038e+04	7.965121456995802873e-01
2.414511750000000029e+04	8.019814434898737687e-01
2.414531250000000000e+04	7.632509135428513503e-01
2.414550749999999971e+04	7.888250952922071235e-01
2.414570349999999962e+04	7.272471298384441951e-01
2.414589849999999933e+04	7.837235465308936000e-01
2.414609349999999904e+04	7.779433890434876986e-01
2.414628949999999895e+04	7.718392209592543907e-01
2.414648449999999866e+04	7.846866381369608234e-01
2.414667949999999837e+04	7.782028454507141646e-01
2.414687549999999828e+04	7.497117121001934947e-01
2.414707050000000163e+04	7.718203386601558691e-01
2.414726550000000134e+04	7.397404009816366255e-01
2.414746050000000105e+04	7.782963746845172892e-01
2.414765650000000096e+04	7.555312311430313343e-01
2.414785150000000067e+04	7.664503448715738188e-01
2.414804650000000038e+04	7.693929741764939934e-01
2.414824250000000029e+04	7.322637504881353010e-01
2.414843750000000000e+04	7.517467057860613977e-01
2.414863249999999971e+04	7.370404464514450638e-01
2.414882849999999962e+04	7.650125273636003698e-01
2.414902349999999933e+04	7.637670234054318996e-01
2.414921849999999904e+04	7.855519507998653950e-01
2.414941449999999895e+04	7.890519106623994361e-01
2.414960949999999866e+04	7.104224201568207775e-01
2.414980449999999837e+04	7.697765406269461153e-01
2.415000049999999828e+04	7.931823168394807055e-01
2.415019550000000163e+04	7.310923285607877631e-01
2.415039050000000134e+04	7.885363484121086231e-01
2.415058550000000105e+04	7.659374700652428203e-01
2.415078150000000096e+04	7.446334747134990550e-01
2.415097650000000067e+04	7.300050359915406517e-01
2.415117150000000038e+04	7.676064378457763127e-01
2.415136750000000029e+04	7.563313652943612908e-01
2.415156250000000000e+04	7.513102964842168774e-01
2.415175749999999971e+04	8.073383508799469865e-01
2.415195349999999962e+04	7.652564128902579199e-01
2.415214849999999933e+04	7.340823535593550275e-01
2.415234349999999904e+04	7.440538841210937449e-01
2.415253949999999895e+04	7.762163309515823784e-01
2.415273449999999866e+04	7.743304632106884355e-01
2.415292949999999837e+04	7.538793524463791584e-01
2.415312549999999828e+04	7.973760167102454943e-01
2.415332050000000163e+04	7.706991441764756701e-01
2.415351550000000134e+04	7.704679595086147970e-01
2.415371050000000105e+04	7.529297772291023705e-01
2.415390650000000096e+04	7.876543110229974332e-01
2.415410150000000067e+04	7.924851975253748293e-01
2.415429650000000038e+04	7.653772758441519386e-01
2.415449250000000029e+04	8.226090681363942281e-01
2.415468750000000000e+04	8.215447744378003847e-01
2.415488249999999971e+04	7.468971800235557623e-01
2.415507849999999962e+04	7.366974081608912428e-01
2.415527349999999933e+04	7.960314035251858655e-01
2.415546849999999904e+04	8.049313028923688051e-01
2.415566449999999895e+04	8.059826825205931300e-01
2.415585949999999866e+04	7.620462773473946072e-01
2.415605449999999837e+04	7.718245357307793597e-01
2.415625049999999828e+04	7.382210537087772195e-01
2.415644550000000163e+04	8.013307884661919900e-01
2.415664050000000134e+04	7.809906736241227776e-01
2.415683550000000105e+04	7.898425594146232243e-01
