# time(sec)	crack length FEA(mm)
4.769355449999999837e+04	2.149381593549328784e+00
4.769375050000000192e+04	2.158844033563358522e+00
4.769394550000000163e+04	2.133057198242319430e+00
4.769414050000000134e+04	2.117798941075372809e+00
4.769433550000000105e+04	2.155061342276944458e+00
4.769453149999999732e+04	2.099408841728571673e+00
4.769472649999999703e+04	2.129241269329861908e+00
4.769492149999999674e+04	2.144697877201444669e+00
4.769511750000000029e+04	2.155292921085017355e+00
4.769531250000000000e+04	2.133406057453971272e+00
4.769550749999999971e+04	2.113834623432214954e+00
4.769570350000000326e+04	2.113544931126050130e+00
4.769589850000000297e+04	2.150426283881646583e+00
4.769609350000000268e+04	2.128109331667145554e+00
4.769628949999999895e+04	2.134695205854498568e+00
4.769648449999999866e+04	2.147404875991563600e+00
4.769667949999999837e+04	2.136136130982290382e+00
4.769687550000000192e+04	2.153984039727767197e+00
4.769707050000000163e+04	2.129456513208662471e+00
4.769726550000000134e+04	2.164645997028607383e+00
4.769746050000000105e+04	2.142897992613235658e+00
4.769765649999999732e+04	2.144168979928156915e+00
4.769785149999999703e+04	2.133726138222659330e+00
4.769804649999999674e+04	2.159299372508854731e+00
4.769824250000000029e+04	2.117510322403095557e+00
4.769843750000000000e+04	2.161754216214307078e+00
4.769863249999999971e+04	2.160134774123410040e+00
4.769882850000000326e+04	2.137127053527061449e+00
4.769902350000000297e+04	2.121083291945051741e+00
4.769921850000000268e+04	2.153853487569223901e+00
4.769941449999999895e+04	2.131637017698578163e+00
4.769960949999999866e+04	2.131392167470814059e+00
4.769980449999999837e+04	2.198548096328373447e+00
4.770000050000000192e+04	2.173584807978164335e+00
4.770019550000000163e+04	2.143606204489740819e+00
4.770039050000000134e+04	2.114049930547119871e+00
4.770058550000000105e+04	2.171112315578643148e+00
4.770078149999999732e+04	2.170426903497322257e+00
4.770097649999999703e+04	2.172020698429292906e+00
4.770117149999999674e+04	2.194286796349054214e+00
4.770136750000000029e+04	2.179223562289443805e+00
4.770156250000000000e+04	2.164623299519039534e+00
4.770175749999999971e+04	2.178077336802832775e+00
4.770195350000000326e+04	2.192844786374292809e+00
4.770214850000000297e+04	2.203491043874334920e+00
4.770234350000000268e+04	2.167920486873416763e+00
4.770253949999999895e+04	2.153169245679894317e+00
4.770273449999999866e+04	2.189958533034840116e+00
4.770292949999999837e+04	2.143087322151037810e+00
4.770312550000000192e+04	2.172250231540097332e+00
4.770332050000000163e+04	2.183496665654498514e+00
4.770351550000000134e+04	2.157554238715333028e+00
4.770371050000000105e+04	2.173870662919568986e+00
4.770390649999999732e+04	2.138305004214803517e+00
4.770410149999999703e+04	2.175853956721290672e+00
4.770429649999999674e+04	2.145156482933431974e+00
4.770449250000000029e+04	2.151396923318525722e+00
4.770468750000000000e+04	2.182550272504952815e+00
4.770488249999999971e+04	2.134092863421424013e+00
