# Temp, Stress Intensity
4.580000000000000000e+02,3.862789725932310830e+04
4.580000000000000000e+02,3.273189926035746976e+04
4.580000000000000000e+02,3.827778876176151243e+04
4.580000000000000000e+02,3.404411007265441003e+04
4.580000000000000000e+02,1.219822993771203619e+04
4.580000000000000000e+02,4.345201482324984681e+04
4.580000000000000000e+02,3.320101564934417547e+04
4.580000000000000000e+02,4.277446350312618597e+04
4.580000000000000000e+02,1.001529802540677629e+05
4.580000000000000000e+02,4.395634124637292553e+04
4.580000000000000000e+02,2.715150037030045860e+04
4.580000000000000000e+02,3.358486763775972940e+04
4.580000000000000000e+02,7.680783232091383252e+04
4.580000000000000000e+02,5.292156276458837965e+04
4.580000000000000000e+02,5.127742537156341132e+04
4.580000000000000000e+02,4.899726207771726331e+04
4.580000000000000000e+02,5.306750319073310675e+04
4.580000000000000000e+02,3.552776089841347130e+04
4.580000000000000000e+02,3.882526685802934662e+04
4.580000000000000000e+02,4.767311008060576569e+04
4.580000000000000000e+02,4.979131020085934142e+04
4.580000000000000000e+02,5.369257807830107049e+04
4.580000000000000000e+02,3.870964517133858317e+04
4.580000000000000000e+02,3.861853967365992867e+04
4.580000000000000000e+02,4.502154451404625433e+04
4.580000000000000000e+02,5.311064744398983748e+04
4.580000000000000000e+02,6.282850880064909143e+04
4.580000000000000000e+02,4.741473818622712133e+04
4.580000000000000000e+02,2.707624879166416213e+04
4.580000000000000000e+02,4.000010436592056794e+04
4.580000000000000000e+02,5.641876063159998739e+04
4.580000000000000000e+02,3.359173179074946529e+04
4.580000000000000000e+02,3.487150704764331749e+04
4.580000000000000000e+02,4.269950688299748435e+04
4.580000000000000000e+02,1.982602624797311000e+04
4.580000000000000000e+02,2.552069461073787170e+04
4.580000000000000000e+02,2.812262841431048946e+04
4.580000000000000000e+02,2.651641624469818271e+04
4.580000000000000000e+02,3.343796814788392658e+04
4.580000000000000000e+02,2.106464453716186836e+04
4.580000000000000000e+02,2.551634842213189040e+04
4.580000000000000000e+02,2.154983514192895018e+04
4.580000000000000000e+02,2.017407056416467094e+04
4.580000000000000000e+02,3.669338989880466397e+04
4.580000000000000000e+02,6.115524731155490008e+04
4.580000000000000000e+02,5.860320417512153654e+04
4.580000000000000000e+02,2.656741737289684170e+04
4.580000000000000000e+02,2.093148984084170297e+04
4.580000000000000000e+02,5.688493066352649475e+04
4.580000000000000000e+02,4.230416610499442322e+04
4.580000000000000000e+02,4.127300915667060326e+04
4.580000000000000000e+02,7.046331900469101674e+04
4.580000000000000000e+02,4.638142572989529435e+04
4.580000000000000000e+02,4.936290436741456506e+04
4.580000000000000000e+02,5.141614239805103716e+04
4.580000000000000000e+02,5.640227853016405425e+04
4.580000000000000000e+02,4.238331901923661644e+04
4.580000000000000000e+02,2.473287283960890636e+04
4.580000000000000000e+02,3.800428526040148427e+04
4.580000000000000000e+02,5.761321550267379644e+04
4.580000000000000000e+02,8.073531909641172206e+03
4.580000000000000000e+02,4.140169892889335460e+04
4.580000000000000000e+02,4.272072315219003940e+04
4.580000000000000000e+02,2.517947032998310169e+04
4.580000000000000000e+02,2.716456329702626681e+04
4.580000000000000000e+02,3.124767356993354770e+04
4.580000000000000000e+02,3.907220879987606168e+04
4.580000000000000000e+02,2.537259311457940566e+04
4.580000000000000000e+02,3.684889202243909676e+04
4.580000000000000000e+02,4.858019828043964662e+04
4.580000000000000000e+02,4.234372539572564710e+04
4.580000000000000000e+02,4.150001222302929091e+04
