Time,Crack Length,Force,Temp
175.9765669,0.032890032,1700,300
176.1718769,0.058189175,1700,300
176.3671869,0.06377504,1700,300
176.5624969,0.056845063,1700,300
176.7578169,0.085057538,1700,300
176.9531269,0.047707335,1700,300
177.1484369,0.065952701,1700,300
177.3437469,0.043978625,1700,300
177.5390669,0.032151276,1700,300
177.7343769,0.056068346,1700,300
177.9296869,0.03671915,1700,300
178.1249969,0.08072934400000001,1700,300
178.3203169,0.054070383,1700,300
178.5156269,0.063923167,1700,300
178.7109369,0.030769915,1700,300
178.9062469,0.094021985,1700,300
179.1015669,0.030085908999999997,1700,300
179.2968769,0.039196375,1700,300
179.4921869,0.063565919,1700,300
179.6874969,0.031241774,1700,300
179.8828169,0.079537987,1700,300
180.0781269,0.054953088,1700,300
180.2734369,0.08908992199999999,1700,300
180.4687469,0.056784887,1700,300
180.6640669,0.048108856,1700,300
180.8593769,0.044348742000000003,1700,300
181.0546869,0.061475113,1700,300
181.2499969,0.061285692,1700,300
181.4453169,0.075482619,1700,300
181.6406269,0.011278348,1700,300
181.8359369,0.060261344,1700,300
182.0312469,0.060286484,1700,300
182.2265669,0.041800098,1700,300
182.4218769,0.026996564,1700,300
182.6171869,0.032812726,1700,300
182.8124969,0.034945288,1700,300
183.0078169,0.05254196,1700,300
183.2031269,0.052260886,1700,300
183.3984369,0.049194735,1700,300
183.5937469,0.047988502999999995,1700,300
183.7890669,0.038483872,1700,300
183.9843769,0.019173243,1700,300
184.1796869,0.058784437,1700,300
184.3749969,0.024399556,1700,300
184.5703169,0.004439165,1700,300
184.7656269,0.02191282,1700,300
184.9609369,0.038457831,1700,300
185.1562469,0.028108521,1700,300
185.3515669,0.040071519,1700,300
185.5468769,0.029117898,1700,300
185.7421869,0.066615123,1700,300
185.9374969,0.043858260999999996,1700,300
186.1328169,0.039164956,1700,300
186.3281269,0.064189784,1700,300
186.5234369,0.049021367999999996,1700,300
186.7187469,0.019676749,1700,300
186.9140669,0.069688241,1700,300
187.1093769,0.031053932000000006,1700,300
187.3046869,0.072527689,1700,300
187.4999969,0.06580283599999999,1700,300
187.6953169,0.061872842000000004,1700,300
187.8906269,0.065225657,1700,300
188.0859369,0.035508723,1700,300
188.2812469,0.064258904,1700,300
188.4765669,0.055837599,1700,300
188.6718769,0.037669822,1700,300
188.8671869,0.035474581,1700,300
189.0624969,0.034641528,1700,300
189.2578169,0.042659838,1700,300
189.4531269,0.05555831,1700,300
189.6484369,0.020401443000000002,1700,300
189.8437469,0.040724679,1700,300
190.0390669,0.051069141,1700,300
190.2343769,0.048042357,1700,300
190.4296869,0.049080689000000004,1700,300
190.6249969,0.010968936,1700,300
190.8203169,0.019352147,1700,300
191.0156269,0.076094538,1700,300
191.2109369,0.075318379,1700,300
191.4062469,0.069241318,1700,300
191.6015669,0.061509267,1700,300
191.7968769,0.033248615,1700,300
191.9921869,0.07387106,1700,300
192.1874969,0.071955157,1700,300
192.3828169,0.084748975,1700,300
192.5781269,0.043038069000000005,1700,300
192.7734369,0.06370232599999999,1700,300
192.9687469,0.090821634,1700,300
193.1640669,0.11376438300000001,1700,300
193.3593769,0.07350851900000001,1700,300
193.5546869,0.06625519,1700,300
193.7499969,0.085941017,1700,300
193.9453169,0.044395473,1700,300
194.1406269,0.061163609,1700,300
194.3359369,0.10628721699999999,1700,300
194.5312469,0.058775475,1700,300
194.7265669,0.03988282,1700,300
194.9218769,0.056242539,1700,300
