# time(sec)	crack length FEA(mm)
1.299589817190000031e+04	4.480554482684482309e-01
1.299609417190000022e+04	4.584024648372029276e-01
1.299628917189999993e+04	4.232928291232163076e-01
1.299648417189999964e+04	4.350606601661066719e-01
1.299668017189999955e+04	4.558477874639592642e-01
1.299687517190000108e+04	4.611009808690234024e-01
1.299707017190000079e+04	4.446624200618174427e-01
1.299726517190000050e+04	4.706638485570824315e-01
1.299746117190000041e+04	4.499015456900004040e-01
1.299765617190000012e+04	3.906866945782123679e-01
1.299785117189999983e+04	4.114379423920446754e-01
1.299804717189999974e+04	4.252284235902248355e-01
1.299824217189999945e+04	4.379492288629620589e-01
1.299843717190000098e+04	4.345177310538161919e-01
1.299863317190000089e+04	4.536232767589041259e-01
1.299882817190000060e+04	4.383571201196740930e-01
1.299902317190000031e+04	3.715220969631172210e-01
1.299921917190000022e+04	4.450074034804103462e-01
1.299941417189999993e+04	4.551035621350081328e-01
1.299960917189999964e+04	4.241287170767620296e-01
1.299980517189999955e+04	4.266248889496857544e-01
1.300000017190000108e+04	4.387712337208533597e-01
1.300019517190000079e+04	4.498078683884276785e-01
1.300039017190000050e+04	4.397713528621451928e-01
1.300058617190000041e+04	4.140611657717734317e-01
1.300078117190000012e+04	4.720433152961653889e-01
1.300097617189999983e+04	4.385826882224979073e-01
1.300117217189999974e+04	4.509084923118411581e-01
1.300136717189999945e+04	4.627876719260335392e-01
1.300156217190000098e+04	4.507560958524514660e-01
1.300175817190000089e+04	4.333257336287950068e-01
1.300195317190000060e+04	4.212942169146458582e-01
1.300214817190000031e+04	4.411371453989509916e-01
1.300234417190000022e+04	4.107944679012689448e-01
1.300253917189999993e+04	4.163377042536318129e-01
1.300273417189999964e+04	4.223878694950418122e-01
1.300293017189999955e+04	4.307715214116374369e-01
1.300312517190000108e+04	4.277759857516212350e-01
1.300332017190000079e+04	4.263662092241595758e-01
1.300351517190000050e+04	3.989149925038191213e-01
1.300371117190000041e+04	4.449281087621397290e-01
1.300390617190000012e+04	4.060978096883296473e-01
1.300410117189999983e+04	4.380058764051852904e-01
1.300429717189999974e+04	4.228321238083125877e-01
1.300449217189999945e+04	4.302841276642084267e-01
1.300468717190000098e+04	4.207283173927898190e-01
1.300488317190000089e+04	4.462925633700862704e-01
1.300507817190000060e+04	4.444801472016290944e-01
1.300527317190000031e+04	4.052128556902019341e-01
1.300546917190000022e+04	4.243070322848971898e-01
1.300566417189999993e+04	4.012620370712554063e-01
1.300585917189999964e+04	4.477722891815858475e-01
1.300605517189999955e+04	4.119926990429441105e-01
1.300625017190000108e+04	4.139477429816196263e-01
1.300644517190000079e+04	4.627362523873319589e-01
1.300664017190000050e+04	4.245945684912992846e-01
1.300683617190000041e+04	4.240194838788013953e-01
1.300703117190000012e+04	4.484395042324642588e-01
1.300722617189999983e+04	4.833601979365056422e-01
1.300742217189999974e+04	4.051426920368683682e-01
1.300761717189999945e+04	4.079254289235230146e-01
1.300781217190000098e+04	4.350040147157017145e-01
1.300800817190000089e+04	4.379924799191172724e-01
1.300820317190000060e+04	4.490953626868510185e-01
1.300839817190000031e+04	4.496132958172580629e-01
1.300859417190000022e+04	4.298853615104683001e-01
1.300878917189999993e+04	4.265042912955223642e-01
1.300898417189999964e+04	4.125701539324033718e-01
1.300918017189999955e+04	4.258241158763702572e-01
1.300937517190000108e+04	3.924421678929803647e-01
1.300957017190000079e+04	4.049312341149580163e-01
1.300976517190000050e+04	4.244709065536262926e-01
1.300996117190000041e+04	4.313938713449196882e-01
1.301015617190000012e+04	4.524826081068944461e-01
1.301035117189999983e+04	4.407241331766194037e-01
1.301054717189999974e+04	4.340067290843094838e-01
1.301074217189999945e+04	4.268062402265648814e-01
1.301093717190000098e+04	4.194150132857430435e-01
1.301113317190000089e+04	4.374815764037247590e-01
1.301132817190000060e+04	4.229434163374623523e-01
1.301152317190000031e+04	4.480729521235957691e-01
1.301171917190000022e+04	4.558261775877721078e-01
1.301191417189999993e+04	4.573402731963653878e-01
1.301210917189999964e+04	4.633052733977827131e-01
1.301230517189999955e+04	4.771665772828921348e-01
1.301250017190000108e+04	4.610979221858340082e-01
1.301269517190000079e+04	4.391945599695681324e-01
1.301289017190000050e+04	4.101324094838805223e-01
1.301308617190000041e+04	4.057626043713149500e-01
1.301328117190000012e+04	4.208478806956783558e-01
1.301347617189999983e+04	4.362577505287834612e-01
1.301367217189999974e+04	4.419518161222732999e-01
1.301386717189999945e+04	4.572394094708354118e-01
1.301406217190000098e+04	4.360290462964773184e-01
1.301425817190000089e+04	4.069786212061572428e-01
1.301445317190000060e+04	4.136270546308917773e-01
1.301464817190000031e+04	4.268969419229264872e-01
1.301484417190000022e+04	4.226043222864070970e-01
1.301503917189999993e+04	4.097353820728333318e-01
1.301523417189999964e+04	4.554813454183417321e-01
1.301543017189999955e+04	4.169501095280416791e-01
1.301562517190000108e+04	3.955575512086504375e-01
1.301582017190000079e+04	4.039668032286414245e-01
1.301601517190000050e+04	4.225733955157640054e-01
1.301621117190000041e+04	4.681762374454017106e-01
