# time(sec)	crack length FEA(mm)
2.079960917189999964e+04	9.532614434174284668e-01
2.079980517189999955e+04	9.625287640351398721e-01
2.080000017189999926e+04	9.653251370404731802e-01
2.080019517189999897e+04	9.595465532589653179e-01
2.080039017189999868e+04	9.585645837227279031e-01
2.080058617189999859e+04	9.588660729175924047e-01
2.080078117190000194e+04	9.177237318321296300e-01
2.080097617190000165e+04	9.200951459581894198e-01
2.080117217190000156e+04	9.576943924000591579e-01
2.080136717190000127e+04	9.776003248704956405e-01
2.080156217190000098e+04	9.251057069553230150e-01
2.080175817190000089e+04	9.335906127609749916e-01
2.080195317190000060e+04	1.008079310155229891e+00
2.080214817190000031e+04	9.367264599217897114e-01
2.080234417190000022e+04	9.461505203278584020e-01
2.080253917189999993e+04	9.802307009571258334e-01
2.080273417189999964e+04	9.828497996013307869e-01
2.080293017189999955e+04	9.110295894797388883e-01
2.080312517189999926e+04	9.398900676497845552e-01
2.080332017189999897e+04	9.837754014441735251e-01
2.080351517189999868e+04	9.846486252479209611e-01
2.080371117189999859e+04	9.689002678404801117e-01
2.080390617190000194e+04	9.473387956604373272e-01
2.080410117190000165e+04	9.840312377763478224e-01
2.080429717190000156e+04	9.198052274434687092e-01
2.080449217190000127e+04	9.594045174664955766e-01
2.080468717190000098e+04	9.692942588834831952e-01
2.080488317190000089e+04	9.277186078301973282e-01
2.080507817190000060e+04	9.406327129901033146e-01
2.080527317190000031e+04	9.704300526393989657e-01
2.080546917190000022e+04	9.790984873883257222e-01
2.080566417189999993e+04	9.811988031884144590e-01
2.080585917189999964e+04	9.511394428623702879e-01
2.080605517189999955e+04	9.986172560222179584e-01
2.080625017189999926e+04	9.608864982726483817e-01
2.080644517189999897e+04	9.793099810590515375e-01
2.080664017189999868e+04	9.495469094209330052e-01
2.080683617189999859e+04	9.794208327643776357e-01
2.080703117190000194e+04	9.990983461794584741e-01
2.080722617190000165e+04	9.512473060810755499e-01
2.080742217190000156e+04	9.898411092994034988e-01
2.080761717190000127e+04	9.326439088287852286e-01
2.080781217190000098e+04	9.783267446320706995e-01
2.080800817190000089e+04	9.883799504190999841e-01
2.080820317190000060e+04	1.011772759009257783e+00
2.080839817190000031e+04	1.003156532187075456e+00
2.080859417190000022e+04	9.592612683206152013e-01
2.080878917189999993e+04	9.832818034962738096e-01
2.080898417189999964e+04	9.615367845469275920e-01
