# time(sec)	crack length FEA(mm)
6.167968771900000320e+03	2.540406384704319009e-01
6.168164071900000636e+03	2.561389089597874147e-01
6.168359371900000042e+03	2.712676341725277496e-01
6.168554671900000358e+03	2.622126775636317575e-01
6.168749971899999764e+03	2.467711751510002216e-01
6.168945271900000080e+03	2.484278330305542681e-01
6.169140671900000598e+03	2.492561385590938983e-01
6.169335971900000004e+03	2.705458640670492798e-01
6.169531271900000320e+03	3.051070304611265271e-01
6.169726571900000636e+03	3.297479632841859853e-01
6.169921871900000042e+03	2.758146266968211080e-01
6.170117171900000358e+03	2.895449385916890606e-01
6.170312471899999764e+03	2.802208585937382423e-01
6.170507771900000080e+03	2.347143391409254320e-01
6.170703171900000598e+03	2.710529662505329895e-01
6.170898471900000004e+03	2.727837349656230259e-01
6.171093771900000320e+03	2.741099880784396703e-01
6.171289071900000636e+03	2.407683868574057584e-01
6.171484371900000042e+03	2.856046942734309368e-01
6.171679671900000358e+03	2.835193115888507975e-01
6.171874971899999764e+03	2.620757101982711390e-01
6.172070271900000080e+03	2.935923042480439449e-01
6.172265671900000598e+03	3.087614814011097053e-01
6.172460971900000004e+03	2.784429174509455152e-01
6.172656271900000320e+03	2.640788965650209263e-01
6.172851571900000636e+03	2.739389005381767106e-01
6.173046871900000042e+03	2.737118033505545611e-01
6.173242171900000358e+03	2.634315915925444784e-01
6.173437471899999764e+03	2.962777562710563473e-01
6.173632771900000080e+03	2.844283008227286302e-01
6.173828171900000598e+03	2.748462086814917882e-01
6.174023471900000004e+03	2.809599707229271104e-01
6.174218771900000320e+03	2.612965948568053420e-01
6.174414071900000636e+03	2.651214033530013836e-01
6.174609371900000042e+03	2.714252800285201772e-01
6.174804671900000358e+03	2.811745533005272080e-01
6.174999971899999764e+03	2.673047986848686719e-01
6.175195271900000080e+03	2.686583199091288066e-01
6.175390671900000598e+03	2.637075423335577540e-01
6.175585971900000004e+03	2.965792217730225389e-01
6.175781271900000320e+03	2.840240841479140244e-01
6.175976571900000636e+03	2.620923120731948330e-01
6.176171871900000042e+03	2.540229971821101884e-01
6.176367171900000358e+03	2.741960747372864660e-01
6.176562471899999764e+03	2.718058725843981449e-01
6.176757771900000080e+03	3.149145647506337298e-01
6.176953171900000598e+03	2.805121445170009054e-01
6.177148471900000004e+03	3.204637664830034538e-01
6.177343771900000320e+03	2.941663097137610094e-01
6.177539071900000636e+03	2.674365252948760485e-01
6.177734371900000042e+03	2.799772287094022261e-01
6.177929671900000358e+03	3.001324057540237789e-01
6.178124971899999764e+03	2.960467245781472911e-01
6.178320271900000080e+03	2.556719535501272844e-01
6.178515671900000598e+03	2.748358233454677446e-01
6.178710971900000004e+03	2.851579843424580929e-01
6.178906271900000320e+03	2.569306193809559602e-01
6.179101571900000636e+03	2.321925874912089682e-01
6.179296871900000042e+03	2.534625967577586181e-01
6.179492171900000358e+03	2.955753459946031114e-01
6.179687471899999764e+03	2.523085770551993789e-01
6.179882771900000080e+03	2.574618765600256154e-01
6.180078171900000598e+03	2.857176725557977193e-01
6.180273471900000004e+03	2.782065193387737168e-01
6.180468771900000320e+03	2.580232299379758842e-01
6.180664071900000636e+03	2.646411346111872120e-01
6.180859371900000042e+03	2.763226904217823687e-01
6.181054671900000358e+03	3.012417630551205150e-01
6.181249971899999764e+03	2.831461456666577448e-01
6.181445271900000080e+03	2.790639004263777423e-01
6.181640671900000598e+03	2.823334791928395759e-01
6.181835971900000004e+03	2.557383691244794477e-01
6.182031271900000320e+03	3.103736783361981111e-01
6.182226571900000636e+03	2.711960932508379329e-01
6.182421871900000042e+03	2.928224780124271120e-01
6.182617171900000358e+03	2.399211136900412100e-01
6.182812471899999764e+03	2.576403591055047571e-01
6.183007771900000080e+03	2.890620337597624712e-01
6.183203171900000598e+03	2.617188518728994495e-01
6.183398471900000004e+03	2.813300617366554235e-01
6.183593771900000320e+03	2.600173841689912280e-01
6.183789071900000636e+03	2.212988023599393728e-01
6.183984371900000042e+03	2.408961063671242187e-01
6.184179671900000358e+03	2.856254470601840012e-01
6.184374971899999764e+03	2.707594762736054150e-01
6.184570271900000080e+03	2.824858461595205483e-01
6.184765671900000598e+03	2.877313955059079831e-01
6.184960971900000004e+03	2.412989625980657138e-01
6.185156271900000320e+03	2.567791211279963903e-01
6.185351571900000636e+03	2.618143027296717662e-01
6.185546871900000042e+03	2.586229394662886705e-01
6.185742171900000358e+03	2.558058185007396901e-01
6.185937471899999764e+03	2.486551606094362654e-01
6.186132771900000080e+03	2.435498753802747274e-01
6.186328171900000598e+03	2.535518658716320317e-01
6.186523471900000004e+03	2.548251595316735063e-01
6.186718771900000320e+03	2.586582155239902647e-01
6.186914071900000636e+03	2.970630397506930365e-01
6.187109371900000042e+03	2.306812808780041024e-01
6.187304671900000358e+03	2.324127737124737081e-01
6.187499971899999764e+03	2.279804641934610743e-01
