# time(sec)	crack length FEA(mm)
2.066015617190000194e+04	9.464611777348821420e-01
2.066035117190000165e+04	9.323562227374022626e-01
2.066054717190000156e+04	9.470120323128377038e-01
2.066074217190000127e+04	9.263586825296918903e-01
2.066093717190000098e+04	9.246351845997793362e-01
2.066113317190000089e+04	9.505332338814032056e-01
2.066132817190000060e+04	9.476575827656361639e-01
2.066152317190000031e+04	9.412129103334425650e-01
2.066171917190000022e+04	9.403431291138613091e-01
2.066191417189999993e+04	9.365437179722331251e-01
2.066210917189999964e+04	9.507178619644349737e-01
2.066230517189999955e+04	9.448208438195031533e-01
2.066250017189999926e+04	9.183227019158231030e-01
2.066269517189999897e+04	9.623755749477247434e-01
2.066289017189999868e+04	9.347675462947240277e-01
2.066308617189999859e+04	9.411422715804640404e-01
2.066328117190000194e+04	9.385519825299368790e-01
2.066347617190000165e+04	9.826019108085759513e-01
2.066367217190000156e+04	9.365557678874818492e-01
2.066386717190000127e+04	9.872662023075466919e-01
2.066406217190000098e+04	9.839929966046678800e-01
2.066425817190000089e+04	9.279265661479243477e-01
2.066445317190000060e+04	9.230447941520800725e-01
2.066464817190000031e+04	1.002871680197880977e+00
2.066484417190000022e+04	9.418616503796410910e-01
2.066503917189999993e+04	9.538141342096206898e-01
2.066523417189999964e+04	9.311025196713718088e-01
2.066543017189999955e+04	9.722833065225540139e-01
2.066562517189999926e+04	9.547973378953571455e-01
2.066582017189999897e+04	9.481508755783067954e-01
2.066601517189999868e+04	9.501116423231454888e-01
2.066621117189999859e+04	9.525938660422550441e-01
2.066640617190000194e+04	9.329910697312833179e-01
2.066660117190000165e+04	9.317727764316607875e-01
2.066679717190000156e+04	9.657908788582147963e-01
2.066699217190000127e+04	9.452557005194091033e-01
2.066718717190000098e+04	9.398779327310968768e-01
2.066738317190000089e+04	9.562272858595211034e-01
2.066757817190000060e+04	9.186791791932868989e-01
2.066777317190000031e+04	9.339085422279485016e-01
2.066796917190000022e+04	9.497384764912109034e-01
2.066816417189999993e+04	9.777061650998479791e-01
2.066835917189999964e+04	9.239031462346289914e-01
2.066855517189999955e+04	9.070163575811935885e-01
2.066875017189999926e+04	9.247684929756339045e-01
2.066894517189999897e+04	9.759520820057794310e-01
2.066914017189999868e+04	9.685858321926552605e-01
2.066933617189999859e+04	9.511959303273940236e-01
2.066953117190000194e+04	9.454100389547814842e-01
2.066972617190000165e+04	9.436757758962581732e-01
2.066992217190000156e+04	9.443627538813093025e-01
2.067011717190000127e+04	9.497475739395113692e-01
2.067031217190000098e+04	9.592612683206152013e-01
2.067050817190000089e+04	9.227419870004780478e-01
2.067070317190000060e+04	9.438634033494146536e-01
2.067089817190000031e+04	9.720354814022194034e-01
2.067109417190000022e+04	9.634884899939812897e-01
2.067128917189999993e+04	9.333392660315364964e-01
2.067148417189999964e+04	9.499220709941287311e-01
2.067168017189999955e+04	9.750231482718074716e-01
2.067187517189999926e+04	9.807707420779898655e-01
2.067207017189999897e+04	9.153521703267468723e-01
2.067226517189999868e+04	9.641064074296146202e-01
2.067246117189999859e+04	9.638120846747995074e-01
2.067265617190000194e+04	9.693134777929479640e-01
2.067285117190000165e+04	9.480579886153872593e-01
2.067304717190000156e+04	9.505444103754783214e-01
2.067324217190000127e+04	9.590556601296551520e-01
2.067343717190000098e+04	9.895883625313306453e-01
2.067363317190000089e+04	9.703030576435942578e-01
2.067382817190000060e+04	9.208586160033540580e-01
2.067402317190000031e+04	9.552098383037588292e-01
2.067421917190000022e+04	9.836041790500065218e-01
2.067441417189999993e+04	9.847725161061564592e-01
2.067460917189999964e+04	9.829675566936035835e-01
2.067480517189999955e+04	9.492664441514655493e-01
2.067500017189999926e+04	9.196901959678562832e-01
2.067519517189999897e+04	9.691623232507939889e-01
2.067539017189999868e+04	9.678822328470548797e-01
2.067558617189999859e+04	9.959717789039235214e-01
2.067578117190000194e+04	9.993247941444138860e-01
2.067597617190000165e+04	9.449318552172165653e-01
2.067617217190000156e+04	9.299476918672144876e-01
2.067636717190000127e+04	9.402179681643900722e-01
2.067656217190000098e+04	9.433750489258478922e-01
2.067675817190000089e+04	9.894041203911712046e-01
2.067695317190000060e+04	9.554629482275025509e-01
2.067714817190000031e+04	9.661053512011719135e-01
2.067734417190000022e+04	9.273057211105868447e-01
2.067753917189999993e+04	9.195477504962035198e-01
2.067773417189999964e+04	9.161106720748453114e-01
2.067793017189999955e+04	9.938605656841978941e-01
2.067812517189999926e+04	9.558662554372752140e-01
2.067832017189999897e+04	9.474719779591627145e-01
2.067851517189999868e+04	9.595365934595019297e-01
2.067871117189999859e+04	9.485411355279254053e-01
2.067890617190000194e+04	9.322552109801485187e-01
2.067910117190000165e+04	9.182591097694814408e-01
2.067929717190000156e+04	9.775348127360743433e-01
2.067949217190000127e+04	9.418424094443764716e-01
2.067968717190000098e+04	9.244908603187660390e-01
2.067988317190000089e+04	9.502942809244032674e-01
2.068007817190000060e+04	9.606728499623500284e-01
2.068027317190000031e+04	9.516790140089348426e-01
2.068046917190000022e+04	9.760487555131156512e-01
2.068066417189999993e+04	9.755016839031043219e-01
2.068085917189999964e+04	9.447562819193944250e-01
2.068105517189999955e+04	9.183499432476054380e-01
2.068125017189999926e+04	9.853354673935843522e-01
2.068144517189999897e+04	9.396539557010683552e-01
2.068164017189999868e+04	9.692378140692241573e-01
2.068183617189999859e+04	9.437795994905258112e-01
2.068203117190000194e+04	9.533602010144619499e-01
2.068222617190000165e+04	9.346785955446641481e-01
2.068242217190000156e+04	9.144349429607423474e-01
2.068261717190000127e+04	9.582641300735019740e-01
2.068281217190000098e+04	1.014000081362258499e+00
2.068300817190000089e+04	9.886619475394056167e-01
2.068320317190000060e+04	9.509286533400995722e-01
2.068339817190000031e+04	9.592713148424447667e-01
2.068359417190000022e+04	1.009192175558714766e+00
2.068378917189999993e+04	9.392472552215913595e-01
2.068398417189999964e+04	9.502912485111707497e-01
2.068418017189999955e+04	1.026910828771816497e+00
2.068437517189999926e+04	9.740175777722051009e-01
2.068457017189999897e+04	9.351741493260075089e-01
2.068476517189999868e+04	9.405953559130360020e-01
2.068496117189999859e+04	9.925587035369591860e-01
2.068515617190000194e+04	9.652485082665052119e-01
2.068535117190000165e+04	9.863365830181010097e-01
2.068554717190000156e+04	9.621890449116712318e-01
2.068574217190000127e+04	9.860677081695641277e-01
2.068593717190000098e+04	9.122268072127681648e-01
2.068613317190000089e+04	9.573787702605311978e-01
2.068632817190000060e+04	9.594619381351989773e-01
2.068652317190000031e+04	9.715003504408699087e-01
2.068671917190000022e+04	9.454856046316706397e-01
2.068691417189999993e+04	9.367395500175099698e-01
2.068710917189999964e+04	9.693971058410397745e-01
2.068730517189999955e+04	9.398758524587051966e-01
2.068750017189999926e+04	9.536729307208009487e-01
2.068769517189999897e+04	9.965767520260513379e-01
2.068789017189999868e+04	9.409898991816838532e-01
2.068808617189999859e+04	9.608190351490168979e-01
2.068828117190000194e+04	9.801068731150550661e-01
2.068847617190000165e+04	9.802207497565955663e-01
2.068867217190000156e+04	9.769142992157302530e-01
2.068886717190000127e+04	9.504788242079325045e-01
2.068906217190000098e+04	9.799769007845391400e-01
2.068925817190000089e+04	9.749565904693149321e-01
2.068945317190000060e+04	9.113437390761784940e-01
2.068964817190000031e+04	9.834692075270634604e-01
2.068984417190000022e+04	9.684658399678127694e-01
2.069003917189999993e+04	9.817094898920792900e-01
2.069023417189999964e+04	9.843555066128288900e-01
2.069043017189999955e+04	9.965264246570697537e-01
2.069062517189999926e+04	9.759571017677828308e-01
2.069082017189999897e+04	9.729181356989720086e-01
2.069101517189999868e+04	9.770965605039716451e-01
2.069121117189999859e+04	1.027336164325712176e+00
2.069140617190000194e+04	9.731963334179898339e-01
2.069160117190000165e+04	9.631770140787452306e-01
2.069179717190000156e+04	9.758604278903142415e-01
2.069199217190000127e+04	9.655771011114122615e-01
2.069218717190000098e+04	9.981048549601823083e-01
2.069238317190000089e+04	9.685615048132625304e-01
2.069257817190000060e+04	9.820933197596470876e-01
2.069277317190000031e+04	9.475153898563419830e-01
2.069296917190000022e+04	9.727135968573126235e-01
2.069316417189999993e+04	1.005750819939208895e+00
2.069335917189999964e+04	1.010488033182619816e+00
2.069355517189999955e+04	1.008310686020388758e+00
2.069375017189999926e+04	9.801763586986123045e-01
2.069394517189999897e+04	9.824004830503145769e-01
2.069414017189999868e+04	9.516498178720098622e-01
2.069433617189999859e+04	9.845368460739418737e-01
2.069453117190000194e+04	1.009159851680983877e+00
2.069472617190000165e+04	9.881171537912010194e-01
2.069492217190000156e+04	9.912941351589683592e-01
2.069511717190000127e+04	9.649632046306209077e-01
2.069531217190000098e+04	1.013505119584380054e+00
2.069550817190000089e+04	1.008169890140699465e+00
2.069570317190000060e+04	1.010479995866958802e+00
2.069589817190000031e+04	9.898501915257540418e-01
2.069609417190000022e+04	1.013641909104080696e+00
2.069628917189999993e+04	9.960461474942370330e-01
2.069648417189999964e+04	9.851824241637014978e-01
2.069668017189999955e+04	9.951411698023004959e-01
2.069687517189999926e+04	9.966824218615659703e-01
2.069707017189999897e+04	9.768306108753677108e-01
2.069726517189999868e+04	9.811958612137878788e-01
2.069746117189999859e+04	9.622031602808824857e-01
2.069765617190000194e+04	9.502307734471244771e-01
2.069785117190000165e+04	9.636710266799486391e-01
2.069804717190000156e+04	9.580825915372948032e-01
2.069824217190000127e+04	1.021884386269348965e+00
2.069843717190000098e+04	9.606263441798219560e-01
2.069863317190000089e+04	9.758352424203522446e-01
2.069882817190000060e+04	9.664772232722071976e-01
2.069902317190000031e+04	9.859227152017808748e-01
2.069921917190000022e+04	9.668361024855300911e-01
2.069941417189999993e+04	1.003688880764290303e+00
2.069960917189999964e+04	9.920271449464621583e-01
2.069980517189999955e+04	9.257569640668918964e-01
2.070000017189999926e+04	9.434325946666781704e-01
2.070019517189999897e+04	9.805047467405518802e-01
2.070039017189999868e+04	1.010346126631116448e+00
2.070058617189999859e+04	9.923573595968786520e-01
2.070078117190000194e+04	9.637112919381394249e-01
2.070097617190000165e+04	9.898159385397757859e-01
2.070117217190000156e+04	9.852197117790986169e-01
2.070136717190000127e+04	9.839657432436581530e-01
2.070156217190000098e+04	9.940327524677634585e-01
2.070175817190000089e+04	9.888119409723472586e-01
2.070195317190000060e+04	9.942390982306985592e-01
2.070214817190000031e+04	9.691935757859138079e-01
2.070234417190000022e+04	9.804795661569247756e-01
2.070253917189999993e+04	1.004709283245963647e+00
2.070273417189999964e+04	9.748709911509205739e-01
2.070293017189999955e+04	1.025038657695183986e+00
2.070312517189999926e+04	9.874041801302730903e-01
2.070332017189999897e+04	9.880285738954341923e-01
2.070351517189999868e+04	9.957472016523212233e-01
2.070371117189999859e+04	1.019284593328642075e+00
2.070390617190000194e+04	1.012096651803890524e+00
2.070410117190000165e+04	1.034461242788687230e+00
2.070429717190000156e+04	9.800867110088375966e-01
2.070449217190000127e+04	9.750130218040382601e-01
