# time(sec)	crack length FEA(mm)
3.417675821870000073e+04	1.591501999015330071e+00
3.417695321870000043e+04	1.668394998514266092e+00
3.417714821870000014e+04	1.626801387894529327e+00
3.417734421869999642e+04	1.651814214587705720e+00
3.417753921869999613e+04	1.647492776433615802e+00
3.417773421870000311e+04	1.655581604847412791e+00
3.417792921870000282e+04	1.632690494698472605e+00
3.417812521869999910e+04	1.624664005230565422e+00
3.417832021869999880e+04	1.673895126426003799e+00
3.417851521869999851e+04	1.625323039534421810e+00
3.417871121870000206e+04	1.655453110532397076e+00
3.417890621870000177e+04	1.657212175650910169e+00
3.417910121870000148e+04	1.667446528229685754e+00
3.417929721869999776e+04	1.646066701676009103e+00
3.417949221869999747e+04	1.675956568656527423e+00
3.417968721869999717e+04	1.650380254483433617e+00
3.417988321870000073e+04	1.636150741467405467e+00
3.418007821870000043e+04	1.615723096022129823e+00
3.418027321870000014e+04	1.640071907092220727e+00
3.418046921869999642e+04	1.641488092154517631e+00
3.418066421869999613e+04	1.617902131925283982e+00
3.418085921870000311e+04	1.637456818273161474e+00
3.418105421870000282e+04	1.663596354830129798e+00
3.418125021869999910e+04	1.597106461676185418e+00
3.418144521869999880e+04	1.647121184800553806e+00
3.418164021869999851e+04	1.641381883490190319e+00
3.418183621870000206e+04	1.628403285590387384e+00
3.418203121870000177e+04	1.636101704028796178e+00
3.418222621870000148e+04	1.647059982960161761e+00
3.418242221869999776e+04	1.657690702218715728e+00
3.418261721869999747e+04	1.622573471766175501e+00
3.418281221869999717e+04	1.601077237799643171e+00
3.418300821870000073e+04	1.666337958892327720e+00
3.418320321870000043e+04	1.678832330053577238e+00
3.418339821870000014e+04	1.639089551286069479e+00
3.418359421869999642e+04	1.635031363538299587e+00
3.418378921869999613e+04	1.668703963431457993e+00
3.418398421870000311e+04	1.616225928223805397e+00
3.418417921870000282e+04	1.613395455502617537e+00
3.418437521869999910e+04	1.640132162730914445e+00
3.418457021869999880e+04	1.652844853805138570e+00
3.418476521869999851e+04	1.623554425860994854e+00
3.418496121870000206e+04	1.637588570983121272e+00
3.418515621870000177e+04	1.614778510956220714e+00
3.418535121870000148e+04	1.613197179435722717e+00
3.418554721869999776e+04	1.608371643393640582e+00
3.418574221869999747e+04	1.663300551846161213e+00
3.418593721869999717e+04	1.624404563995017980e+00
3.418613321870000073e+04	1.587306461873199126e+00
3.418632821870000043e+04	1.593431707648825579e+00
3.418652321870000014e+04	1.662570228117090210e+00
3.418671921869999642e+04	1.648248128842960014e+00
3.418691421869999613e+04	1.609386927045514781e+00
3.418710921870000311e+04	1.610995216992430201e+00
3.418730421870000282e+04	1.653008075750722838e+00
3.418750021869999910e+04	1.624416763766756588e+00
3.418769521869999880e+04	1.644425255967602695e+00
3.418789021869999851e+04	1.643004165207269551e+00
3.418808621870000206e+04	1.606861370174216930e+00
3.418828121870000177e+04	1.625420107050519647e+00
3.418847621870000148e+04	1.618677857259173791e+00
3.418867221869999776e+04	1.635938186662889038e+00
3.418886721869999747e+04	1.616701181053832315e+00
3.418906221869999717e+04	1.651209940654489117e+00
3.418925821870000073e+04	1.674248945034129576e+00
3.418945321870000043e+04	1.614449416083589384e+00
3.418964821870000014e+04	1.599032538625714039e+00
3.418984421869999642e+04	1.636597951069539647e+00
3.419003921869999613e+04	1.632546518495329835e+00
3.419023421870000311e+04	1.622820733012151351e+00
3.419042921870000282e+04	1.631108286317102696e+00
3.419062521869999910e+04	1.657880444885950766e+00
