# time(sec)	crack length FEA(mm)
1.062695321870000043e+04	3.990449413829963987e-01
1.062714821870000014e+04	4.164821677559906732e-01
1.062734421870000006e+04	3.992267171153436323e-01
1.062753921869999976e+04	4.311316104047708819e-01
1.062773421869999947e+04	4.511007868473804194e-01
1.062792921869999918e+04	4.226786577030683389e-01
1.062812521869999910e+04	4.206154814005476084e-01
1.062832021869999880e+04	3.847229988025340219e-01
1.062851521870000033e+04	4.368079150752031126e-01
1.062871121870000025e+04	3.705607596203446263e-01
1.062890621869999995e+04	4.055856249653650991e-01
1.062910121869999966e+04	4.592424989557031267e-01
1.062929721869999958e+04	4.092176252769981204e-01
1.062949221869999928e+04	4.145162905535784148e-01
1.062968721869999899e+04	4.101637025488535926e-01
1.062988321869999891e+04	4.341154595004770300e-01
1.063007821870000043e+04	4.364771282606874081e-01
1.063027321870000014e+04	4.532826895516990362e-01
1.063046921870000006e+04	4.119933998220730587e-01
1.063066421869999976e+04	4.138154456854152841e-01
1.063085921869999947e+04	4.079425131354081913e-01
1.063105421869999918e+04	4.290164956231414806e-01
1.063125021869999910e+04	4.560942855946699126e-01
1.063144521869999880e+04	4.104378453273600513e-01
1.063164021870000033e+04	4.000720791391145781e-01
1.063183621870000025e+04	3.897256565783013826e-01
1.063203121869999995e+04	3.908758413484250127e-01
1.063222621869999966e+04	3.811207691984641599e-01
1.063242221869999958e+04	4.179814522364999618e-01
1.063261721869999928e+04	4.380439307405392668e-01
1.063281221869999899e+04	3.925111690272160558e-01
1.063300821869999891e+04	4.222209222625945557e-01
1.063320321870000043e+04	3.747696023070758997e-01
1.063339821870000014e+04	4.188347864248989083e-01
1.063359421870000006e+04	3.836134453001260880e-01
1.063378921869999976e+04	3.886001892241619515e-01
1.063398421869999947e+04	4.059232448314915587e-01
1.063417921869999918e+04	3.975337628470683171e-01
1.063437521869999910e+04	3.583038219317398188e-01
1.063457021869999880e+04	3.796967602566585498e-01
1.063476521870000033e+04	4.188466212848780401e-01
1.063496121870000025e+04	3.903669159716116610e-01
1.063515621869999995e+04	3.942346010166897230e-01
1.063535121869999966e+04	4.433664826424603689e-01
1.063554721869999958e+04	4.242624874096954102e-01
1.063574221869999928e+04	4.121514227700586730e-01
1.063593721869999899e+04	4.265348605091148215e-01
1.063613321869999891e+04	4.729594076242484846e-01
1.063632821870000043e+04	4.308985268486189568e-01
1.063652321870000014e+04	4.109925674420988884e-01
1.063671921870000006e+04	4.014713040616957329e-01
1.063691421869999976e+04	4.052382927835473936e-01
1.063710921869999947e+04	3.615248195553082411e-01
1.063730421869999918e+04	4.210539358934006771e-01
1.063750021869999910e+04	4.497355060113683578e-01
1.063769521869999880e+04	4.204209856327878470e-01
1.063789021870000033e+04	3.969496891099311142e-01
1.063808621870000025e+04	4.032725929727476455e-01
1.063828121869999995e+04	4.088649691647816553e-01
1.063847621869999966e+04	4.185295706289302586e-01
1.063867221869999958e+04	3.828138108158167796e-01
1.063886721869999928e+04	3.989427860689076510e-01
1.063906221869999899e+04	4.219898776073627289e-01
1.063925821869999891e+04	4.226625695874268729e-01
1.063945321870000043e+04	3.868666684736545847e-01
1.063964821870000014e+04	4.613571628755543941e-01
1.063984421870000006e+04	4.468898785984265487e-01
1.064003921869999976e+04	4.175279226898886975e-01
1.064023421869999947e+04	4.427899561810981766e-01
1.064042921869999918e+04	4.286211660415073510e-01
1.064062521869999910e+04	4.275103687254944163e-01
1.064082021869999880e+04	4.308179560661500318e-01
1.064101521870000033e+04	4.178277686358136123e-01
1.064121121870000025e+04	4.432687988160246562e-01
1.064140621869999995e+04	4.064275555187819577e-01
1.064160121869999966e+04	3.969421402450006298e-01
1.064179721869999958e+04	4.218534060069316638e-01
1.064199221869999928e+04	4.118267696100748054e-01
1.064218721869999899e+04	4.132855053555406499e-01
1.064238321869999891e+04	4.314248509561497968e-01
1.064257821870000043e+04	4.115139505581666413e-01
1.064277321870000014e+04	3.996225170267031501e-01
1.064296921870000006e+04	3.996859778319752365e-01
1.064316421869999976e+04	4.292710974062057261e-01
1.064335921869999947e+04	4.310392390483883673e-01
1.064355421869999918e+04	3.997214729442575276e-01
1.064375021869999910e+04	4.214396944597815775e-01
1.064394521869999880e+04	4.075930621196341974e-01
1.064414021870000033e+04	3.672720081467240050e-01
1.064433621870000025e+04	3.575917132842079127e-01
