# time(sec)	crack length FEA(mm)
4.309511721869999747e+04	2.318494722663160701e+00
4.309531221869999717e+04	2.339961487889468117e+00
4.309550821870000073e+04	2.341759105968799659e+00
4.309570321870000043e+04	2.348120117513914806e+00
4.309589821870000014e+04	2.320795246165324954e+00
4.309609421869999642e+04	2.328127968524702496e+00
4.309628921869999613e+04	2.350757915310710544e+00
4.309648421870000311e+04	2.339463573706996868e+00
4.309667921870000282e+04	2.316597155015109877e+00
4.309687521869999910e+04	2.366136808593719110e+00
4.309707021869999880e+04	2.341883742643249278e+00
4.309726521869999851e+04	2.330480992048846289e+00
4.309746121870000206e+04	2.365045248288144109e+00
4.309765621870000177e+04	2.345012946418043143e+00
4.309785121870000148e+04	2.363547396431886938e+00
4.309804721869999776e+04	2.321315196616481558e+00
4.309824221869999747e+04	2.361910989746089484e+00
4.309843721869999717e+04	2.358134117402823193e+00
4.309863321870000073e+04	2.328069524668222812e+00
4.309882821870000043e+04	2.327346662598976934e+00
4.309902321870000014e+04	2.356752531455722277e+00
4.309921921869999642e+04	2.323205466449525858e+00
4.309941421869999613e+04	2.338234214886474760e+00
4.309960921870000311e+04	2.336852401094438036e+00
4.309980421870000282e+04	2.329762036903300526e+00
4.310000021869999910e+04	2.340988995525830063e+00
4.310019521869999880e+04	2.326978118885076441e+00
4.310039021869999851e+04	2.353688129257754724e+00
4.310058621870000206e+04	2.367505152820577052e+00
4.310078121870000177e+04	2.322795243828243983e+00
4.310097621870000148e+04	2.380478326690461444e+00
4.310117221869999776e+04	2.350525483594516629e+00
4.310136721869999747e+04	2.335284086341511411e+00
4.310156221869999717e+04	2.305035619750707809e+00
4.310175821870000073e+04	2.328238900833737191e+00
4.310195321870000043e+04	2.352828531461351957e+00
4.310214821870000014e+04	2.301202575078548307e+00
4.310234421869999642e+04	2.358451592960086884e+00
4.310253921869999613e+04	2.396587951730303701e+00
4.310273421870000311e+04	2.363436641714899977e+00
4.310292921870000282e+04	2.344018440122749070e+00
4.310312521869999910e+04	2.369489962692167495e+00
4.310332021869999880e+04	2.371545912628167940e+00
4.310351521869999851e+04	2.337536431003794490e+00
4.310371121870000206e+04	2.368742729195485452e+00
4.310390621870000177e+04	2.399218757623495790e+00
4.310410121870000148e+04	2.373712543827979360e+00
4.310429721869999776e+04	2.342247956553702437e+00
4.310449221869999747e+04	2.336652222241646371e+00
4.310468721869999717e+04	2.389347899197336034e+00
4.310488321870000073e+04	2.346952610363391756e+00
4.310507821870000043e+04	2.368236633915367761e+00
4.310527321870000014e+04	2.370629699644528188e+00
4.310546921869999642e+04	2.364421438837931433e+00
4.310566421869999613e+04	2.365273705052601372e+00
4.310585921870000311e+04	2.376461871601783571e+00
4.310605421870000282e+04	2.344363831915368124e+00
4.310625021869999910e+04	2.380132567460544024e+00
4.310644521869999880e+04	2.366078550382182399e+00
4.310664021869999851e+04	2.381782640443180554e+00
4.310683621870000206e+04	2.372805165632014379e+00
4.310703121870000177e+04	2.365286444207587380e+00
4.310722621870000148e+04	2.359417839075552692e+00
4.310742221869999776e+04	2.390737449553244076e+00
4.310761721869999747e+04	2.381562332352761047e+00
4.310781221869999717e+04	2.339931814015779210e+00
4.310800821870000073e+04	2.369594828090059835e+00
4.310820321870000043e+04	2.389883115534257030e+00
4.310839821870000014e+04	2.321903806592548136e+00
4.310859421869999642e+04	2.376425286329734377e+00
4.310878921869999613e+04	2.381115768889312534e+00
4.310898421870000311e+04	2.360880550012911527e+00
4.310917921870000282e+04	2.386527215079858877e+00
4.310937521869999910e+04	2.346977344885125660e+00
4.310957021869999880e+04	2.394582686646888448e+00
4.310976521869999851e+04	2.376590216668931888e+00
4.310996121870000206e+04	2.340293084334010842e+00
4.311015621870000177e+04	2.365154041563528153e+00
4.311035121870000148e+04	2.393795592982039366e+00
4.311054721869999776e+04	2.347112916770585755e+00
