# time(sec)	crack length FEA(mm)
1.327460921869999947e+04	6.129176880093734070e-01
1.327480421869999918e+04	6.160533392706817324e-01
1.327500021869999910e+04	5.715605181432472648e-01
1.327519521869999880e+04	6.120657712220261004e-01
1.327539021870000033e+04	5.790987164772776197e-01
1.327558621870000025e+04	6.045814890909042560e-01
1.327578121869999995e+04	6.225845007978314527e-01
1.327597621869999966e+04	5.737499386445001903e-01
1.327617221869999958e+04	5.936665601869890452e-01
1.327636721869999928e+04	5.790132734823298932e-01
1.327656221869999899e+04	6.200018370168045578e-01
1.327675821869999891e+04	6.335311944959247654e-01
1.327695321870000043e+04	5.828984454843322283e-01
1.327714821870000014e+04	6.035404348816992837e-01
1.327734421870000006e+04	5.965240560921891699e-01
1.327753921869999976e+04	5.907490059461082410e-01
1.327773421869999947e+04	5.834866150918376348e-01
1.327792921869999918e+04	5.898813460360905481e-01
1.327812521869999910e+04	6.150053461624160889e-01
1.327832021869999880e+04	5.701827160952461782e-01
1.327851521870000033e+04	6.444315002205840415e-01
1.327871121870000025e+04	5.980113778621820586e-01
1.327890621869999995e+04	5.878012150303177918e-01
1.327910121869999966e+04	5.845135488319392891e-01
1.327929721869999958e+04	5.951465673519997779e-01
1.327949221869999928e+04	6.154200430536675981e-01
1.327968721869999899e+04	5.716833636723901435e-01
1.327988321869999891e+04	5.343739540089043061e-01
1.328007821870000043e+04	5.976997906775061153e-01
1.328027321870000014e+04	5.730557513131699920e-01
1.328046921870000006e+04	5.429511735710690346e-01
1.328066421869999976e+04	5.379250007274283263e-01
1.328085921869999947e+04	5.771179875745140464e-01
1.328105421869999918e+04	5.345472276069287432e-01
1.328125021869999910e+04	5.547180547113317317e-01
1.328144521869999880e+04	5.833905318486003466e-01
1.328164021870000033e+04	5.680688328884713201e-01
1.328183621870000025e+04	5.327308905278016482e-01
1.328203121869999995e+04	5.727908722560997035e-01
1.328222621869999966e+04	5.744195308448354353e-01
1.328242221869999958e+04	5.556917000313177368e-01
1.328261721869999928e+04	5.547479931251348972e-01
1.328281221869999899e+04	5.810119891796468039e-01
1.328300821869999891e+04	5.718510252658344228e-01
1.328320321870000043e+04	5.732319535177623493e-01
1.328339821870000014e+04	5.862011914530604884e-01
1.328359421870000006e+04	6.031969681607165512e-01
1.328378921869999976e+04	5.812660586734690327e-01
1.328398421869999947e+04	5.815628793760190263e-01
1.328417921869999918e+04	5.719834656456139754e-01
1.328437521869999910e+04	6.421781433824236274e-01
1.328457021869999880e+04	5.699658832523990526e-01
1.328476521870000033e+04	6.116573557445352805e-01
1.328496121870000025e+04	6.120465550558247259e-01
1.328515621869999995e+04	6.024151112130589070e-01
1.328535121869999966e+04	5.644217407938647568e-01
1.328554721869999958e+04	5.701624210702842532e-01
1.328574221869999928e+04	5.712668056562879570e-01
1.328593721869999899e+04	6.032214964221260800e-01
1.328613321869999891e+04	5.728026333029347938e-01
1.328632821870000043e+04	5.592610319542714592e-01
1.328652321870000014e+04	5.924821068398085089e-01
1.328671921870000006e+04	5.849554918526109759e-01
1.328691421869999976e+04	5.603231720472034993e-01
1.328710921869999947e+04	5.883519524907754317e-01
1.328730421869999918e+04	5.697907126964629754e-01
1.328750021869999910e+04	5.655840871569495221e-01
1.328769521869999880e+04	5.847057152972290339e-01
1.328789021870000033e+04	5.929430822134520440e-01
1.328808621870000025e+04	5.639078626155384910e-01
1.328828121869999995e+04	5.724469829889944350e-01
1.328847621869999966e+04	6.096270659325337959e-01
1.328867221869999958e+04	5.917052058685214888e-01
1.328886721869999928e+04	5.617592404973450471e-01
1.328906221869999899e+04	5.761366715800306793e-01
1.328925821869999891e+04	5.850366503456569944e-01
1.328945321870000043e+04	5.576848280393242874e-01
1.328964821870000014e+04	5.790421366656381963e-01
1.328984421870000006e+04	5.678872532246703742e-01
1.329003921869999976e+04	6.038220142550958514e-01
1.329023421869999947e+04	5.539175259813582386e-01
1.329042921869999918e+04	6.095118579694513983e-01
1.329062521869999910e+04	6.066100632987225794e-01
1.329082021869999880e+04	5.564034818638923241e-01
1.329101521870000033e+04	5.505280790636426502e-01
1.329121121870000025e+04	5.980721753459867784e-01
1.329140621869999995e+04	5.800201171429222313e-01
1.329160121869999966e+04	5.556307972652252403e-01
1.329179721869999958e+04	5.677451652130667270e-01
1.329199221869999928e+04	5.937978468538762655e-01
1.329218721869999899e+04	6.002368027337503520e-01
1.329238321869999891e+04	5.643106148050875959e-01
1.329257821870000043e+04	5.869718674021875415e-01
1.329277321870000014e+04	6.070985124604320049e-01
1.329296921870000006e+04	5.975494073607894308e-01
1.329316421869999976e+04	6.192621065595123042e-01
1.329335921869999947e+04	5.713202015161282787e-01
1.329355421869999918e+04	6.114675808216816222e-01
1.329375021869999910e+04	5.682066247952803906e-01
1.329394521869999880e+04	5.997684870301860371e-01
1.329414021870000033e+04	6.210720478431355218e-01
1.329433621870000025e+04	6.327183411905572541e-01
1.329453121869999995e+04	6.072862417368654064e-01
1.329472621869999966e+04	6.387998405860972895e-01
1.329492221869999958e+04	5.913722342117608832e-01
1.329511721869999928e+04	6.162004402601652941e-01
1.329531221869999899e+04	5.726840776558965729e-01
1.329550821869999891e+04	6.464578562680589613e-01
1.329570321870000043e+04	6.044236076378268763e-01
1.329589821870000014e+04	6.208801668903163318e-01
1.329609421870000006e+04	6.436615911801712997e-01
1.329628921869999976e+04	6.277488995626292478e-01
1.329648421869999947e+04	6.214802510853001394e-01
1.329667921869999918e+04	6.343237880343970403e-01
1.329687521869999910e+04	6.164115249243646844e-01
1.329707021869999880e+04	6.133687166196963858e-01
1.329726521870000033e+04	5.754489729724490132e-01
1.329746121870000025e+04	6.124848227734567274e-01
1.329765621869999995e+04	6.061685203863831362e-01
1.329785121869999966e+04	6.081660638070101044e-01
