# time(sec)	crack length FEA(mm)
1.898789031249999971e+04	1.320723862047060493e+00
1.898808631249999962e+04	1.308257704123874987e+00
1.898828131249999933e+04	1.336697034097502623e+00
1.898847631249999904e+04	1.279849797001290312e+00
1.898867231249999895e+04	1.227240335144308858e+00
1.898886731249999866e+04	1.282571352550156973e+00
1.898906231249999837e+04	1.272369397005796543e+00
1.898925831249999828e+04	1.299724750911927629e+00
1.898945331250000163e+04	1.293055713039372279e+00
1.898964831250000134e+04	1.342605970855503372e+00
1.898984331250000105e+04	1.320805980823113401e+00
1.899003931250000096e+04	1.267758159090355718e+00
1.899023431250000067e+04	1.258161349238665849e+00
1.899042931250000038e+04	1.282250468701956692e+00
1.899062531250000029e+04	1.305898699605286595e+00
1.899082031250000000e+04	1.327735117107849305e+00
1.899101531249999971e+04	1.342452019853430656e+00
1.899121131249999962e+04	1.274844892784807726e+00
1.899140631249999933e+04	1.262984470883974808e+00
1.899160131249999904e+04	1.294671801853397142e+00
1.899179731249999895e+04	1.315276919584103865e+00
1.899199231249999866e+04	1.327107893581471743e+00
1.899218731249999837e+04	1.346280314490970298e+00
1.899238331249999828e+04	1.303299010238060163e+00
1.899257831250000163e+04	1.292159182202055945e+00
1.899277331250000134e+04	1.285666967633346758e+00
1.899296831250000105e+04	1.326585414951594544e+00
1.899316431250000096e+04	1.351753003598663128e+00
1.899335931250000067e+04	1.361517589135441852e+00
1.899355431250000038e+04	1.312847679827777725e+00
1.899375031250000029e+04	1.321805143075104993e+00
1.899394531250000000e+04	1.269928557160310945e+00
1.899414031249999971e+04	1.308434472087000700e+00
1.899433631249999962e+04	1.296043019155208142e+00
1.899453131249999933e+04	1.348360474644472617e+00
1.899472631249999904e+04	1.317561938263676069e+00
1.899492231249999895e+04	1.322037198768878596e+00
1.899511731249999866e+04	1.286738469107657323e+00
1.899531231249999837e+04	1.256049568437699548e+00
1.899550831249999828e+04	1.260634272042327808e+00
1.899570331250000163e+04	1.325796957230046758e+00
