# time(sec)	crack length FEA(mm)
1.675839817190000031e+04	5.822002029279627067e-01
1.675859417190000022e+04	5.973434960174923702e-01
1.675878917189999993e+04	6.013652641948894484e-01
1.675898417189999964e+04	6.076288751542335831e-01
1.675918017189999955e+04	5.922841428845302403e-01
1.675937517189999926e+04	6.144462545321012215e-01
1.675957017189999897e+04	5.904363914760057952e-01
1.675976517189999868e+04	6.097433263120990432e-01
1.675996117189999859e+04	6.359138731146352086e-01
1.676015617190000194e+04	6.306141427346201311e-01
1.676035117190000165e+04	6.046671059215480426e-01
1.676054717190000156e+04	6.193557934505982132e-01
1.676074217190000127e+04	6.443056662356525521e-01
1.676093717190000098e+04	6.512965954873095598e-01
1.676113317190000089e+04	6.320735992262065395e-01
1.676132817190000060e+04	6.092155083110206704e-01
1.676152317190000031e+04	6.030566578078726536e-01
1.676171917190000022e+04	6.139021359664535993e-01
1.676191417189999993e+04	6.049371954158733189e-01
1.676210917189999964e+04	6.468970042147681454e-01
1.676230517189999955e+04	6.054866371107685552e-01
1.676250017189999926e+04	5.700989074434694714e-01
1.676269517189999897e+04	6.213046536176118906e-01
1.676289017189999868e+04	6.217197690060789483e-01
1.676308617189999859e+04	6.016343969196391583e-01
1.676328117190000194e+04	5.967365952073180324e-01
1.676347617190000165e+04	5.928307825387300056e-01
1.676367217190000156e+04	6.002805903601391435e-01
1.676386717190000127e+04	6.403308200539736816e-01
1.676406217190000098e+04	5.865776911414659622e-01
1.676425817190000089e+04	5.997504671924538400e-01
1.676445317190000060e+04	6.062825714034314473e-01
1.676464817190000031e+04	6.151232934447961043e-01
1.676484417190000022e+04	5.905080424766477876e-01
1.676503917189999993e+04	6.168270349162909838e-01
1.676523417189999964e+04	6.293744000557808249e-01
1.676543017189999955e+04	6.403747603012917011e-01
1.676562517189999926e+04	6.176880490874694374e-01
1.676582017189999897e+04	5.891034493989408816e-01
1.676601517189999868e+04	6.097279846121956837e-01
1.676621117189999859e+04	6.095326275195862564e-01
1.676640617190000194e+04	6.105115237038525322e-01
1.676660117190000165e+04	6.163269616690776331e-01
1.676679717190000156e+04	6.195132689444164953e-01
1.676699217190000127e+04	6.178076768851603617e-01
1.676718717190000098e+04	5.996645412918475415e-01
1.676738317190000089e+04	6.086324164894048039e-01
1.676757817190000060e+04	6.783712846412761621e-01
1.676777317190000031e+04	6.752783162206767997e-01
1.676796917190000022e+04	6.188517403248745552e-01
1.676816417189999993e+04	6.230815572187413665e-01
1.676835917189999964e+04	6.504377570057311431e-01
1.676855517189999955e+04	6.152950978265696591e-01
1.676875017189999926e+04	5.926526388632868958e-01
1.676894517189999897e+04	6.560670559650834122e-01
1.676914017189999868e+04	6.061475344584010827e-01
1.676933617189999859e+04	6.026606585494818091e-01
1.676953117190000194e+04	5.969116145885795532e-01
1.676972617190000165e+04	5.872575510283173372e-01
1.676992217190000156e+04	6.060677123862880933e-01
1.677011717190000127e+04	5.923138105861376346e-01
1.677031217190000098e+04	5.862930363672838041e-01
1.677050817190000089e+04	6.174048014362902848e-01
1.677070317190000060e+04	5.984057779593126014e-01
1.677089817190000031e+04	5.858067013267760359e-01
1.677109417190000022e+04	6.149586211891353571e-01
1.677128917189999993e+04	6.024979942064732086e-01
1.677148417189999964e+04	6.028284547343751854e-01
1.677168017189999955e+04	5.994721452933760020e-01
1.677187517189999926e+04	5.915358612609100675e-01
1.677207017189999897e+04	5.999111631997156024e-01
1.677226517189999868e+04	6.236182879338194596e-01
1.677246117189999859e+04	6.384437456580212000e-01
1.677265617190000194e+04	6.110015062429763333e-01
1.677285117190000165e+04	6.063552305678285848e-01
1.677304717190000156e+04	6.163126079541072500e-01
1.677324217190000127e+04	6.461013482200179681e-01
1.677343717190000098e+04	5.914365406271002712e-01
1.677363317190000089e+04	5.835550187734632743e-01
1.677382817190000060e+04	6.085444743719499172e-01
1.677402317190000031e+04	6.341695563776195144e-01
1.677421917190000022e+04	6.107999824970242742e-01
1.677441417189999993e+04	5.891946009417203811e-01
1.677460917189999964e+04	6.320725457773672673e-01
1.677480517189999955e+04	6.126482433953039930e-01
1.677500017189999926e+04	6.149494058351372416e-01
1.677519517189999897e+04	6.304383724404303280e-01
1.677539017189999868e+04	6.618349062624631074e-01
1.677558617189999859e+04	6.432555830354917958e-01
1.677578117190000194e+04	5.986882436385698725e-01
1.677597617190000165e+04	6.232656003286312085e-01
1.677617217190000156e+04	6.102067184358332952e-01
1.677636717190000127e+04	5.962729477993669036e-01
1.677656217190000098e+04	6.018052413536150169e-01
1.677675817190000089e+04	5.796910900057365978e-01
1.677695317190000060e+04	6.132005516267753364e-01
1.677714817190000031e+04	6.187187578759356654e-01
1.677734417190000022e+04	5.903023134939129335e-01
1.677753917189999993e+04	5.830829410025391013e-01
1.677773417189999964e+04	5.871162262283835531e-01
1.677793017189999955e+04	6.189590655926320295e-01
1.677812517189999926e+04	5.703191781403571525e-01
1.677832017189999897e+04	5.710363643316718196e-01
1.677851517189999868e+04	5.742880062658617391e-01
1.677871117189999859e+04	5.849793686521191916e-01
1.677890617190000194e+04	6.227319443816075051e-01
1.677910117190000165e+04	6.105503863220373972e-01
1.677929717190000156e+04	6.071500908537270647e-01
1.677949217190000127e+04	6.037861919801290611e-01
1.677968717190000098e+04	6.339365699457832903e-01
1.677988317190000089e+04	5.705138451650082487e-01
1.678007817190000060e+04	6.235436514731151902e-01
1.678027317190000031e+04	5.948595153907358934e-01
1.678046917190000022e+04	6.149238505597836024e-01
1.678066417189999993e+04	6.275447803199707408e-01
1.678085917189999964e+04	5.667503254835857263e-01
1.678105517189999955e+04	5.867619563989308062e-01
1.678125017189999926e+04	5.717524822823722985e-01
1.678144517189999897e+04	5.863995019499075312e-01
1.678164017189999868e+04	5.884851313383379079e-01
1.678183617189999859e+04	5.848994774949787256e-01
1.678203117190000194e+04	6.383814415612292237e-01
1.678222617190000165e+04	5.882383414816878542e-01
1.678242217190000156e+04	5.942054435967385473e-01
1.678261717190000127e+04	6.106107669166842555e-01
1.678281217190000098e+04	6.041452953275197046e-01
1.678300817190000089e+04	5.608555140527791139e-01
1.678320317190000060e+04	5.773630645128680072e-01
1.678339817190000031e+04	5.833901250866642130e-01
1.678359417190000022e+04	5.707013291963196622e-01
1.678378917189999993e+04	5.795886773384850699e-01
1.678398417189999964e+04	5.610389691904948961e-01
1.678418017189999955e+04	6.007840332347633705e-01
1.678437517189999926e+04	6.225356461287745446e-01
1.678457017189999897e+04	5.865827747035190498e-01
1.678476517189999868e+04	5.870855056321531151e-01
1.678496117189999859e+04	6.090804787754589000e-01
1.678515617190000194e+04	6.029809565698371898e-01
1.678535117190000165e+04	5.726714749346566435e-01
1.678554717190000156e+04	6.370255881475017645e-01
1.678574217190000127e+04	5.688816358722057487e-01
1.678593717190000098e+04	5.903350174388215521e-01
1.678613317190000089e+04	6.029349099225367326e-01
1.678632817190000060e+04	6.077240438848576787e-01
1.678652317190000031e+04	5.453819275854705495e-01
1.678671917190000022e+04	5.709082701919996339e-01
1.678691417189999993e+04	6.100297556632021667e-01
1.678710917189999964e+04	6.106853989531728644e-01
1.678730517189999955e+04	6.008750885367462047e-01
1.678750017189999926e+04	5.854616390194777864e-01
1.678769517189999897e+04	5.680557821340492808e-01
1.678789017189999868e+04	6.167319016180901059e-01
