# time(sec)	crack length FEA(mm)
2.470136717190000127e+04	1.295571594884808775e+00
2.470156217190000098e+04	1.320624437131609596e+00
2.470175817190000089e+04	1.297702808834584332e+00
2.470195317190000060e+04	1.315750260474764843e+00
2.470214817190000031e+04	1.298275368863608392e+00
2.470234417190000022e+04	1.313365480275074049e+00
2.470253917189999993e+04	1.317816089126484513e+00
2.470273417189999964e+04	1.314119394268828955e+00
2.470293017189999955e+04	1.315479125625056867e+00
2.470312517189999926e+04	1.294536827623378628e+00
2.470332017189999897e+04	1.297975088226570151e+00
2.470351517189999868e+04	1.315190156243222219e+00
2.470371117189999859e+04	1.301386125519572445e+00
2.470390617190000194e+04	1.285192399085193671e+00
2.470410117190000165e+04	1.293618239231019373e+00
2.470429717190000156e+04	1.319643404611534621e+00
2.470449217190000127e+04	1.288984102016668132e+00
2.470468717190000098e+04	1.279252438275207737e+00
2.470488317190000089e+04	1.301925815268376141e+00
2.470507817190000060e+04	1.297476205767921442e+00
2.470527317190000031e+04	1.275317896225651282e+00
2.470546917190000022e+04	1.267339374629232296e+00
2.470566417189999993e+04	1.324549521528846086e+00
2.470585917189999964e+04	1.308334899168936971e+00
2.470605517189999955e+04	1.314845470071317024e+00
2.470625017189999926e+04	1.320308747202778576e+00
2.470644517189999897e+04	1.317064256041287962e+00
2.470664017189999868e+04	1.307166529154393686e+00
2.470683617189999859e+04	1.295144218816112414e+00
2.470703117190000194e+04	1.301483530106988695e+00
2.470722617190000165e+04	1.340712204391390827e+00
2.470742217190000156e+04	1.286283359009095406e+00
2.470761717190000127e+04	1.290972603078081704e+00
2.470781217190000098e+04	1.280604277773294442e+00
2.470800817190000089e+04	1.270865212839858316e+00
2.470820317190000060e+04	1.272257279772048832e+00
2.470839817190000031e+04	1.321393044591250288e+00
2.470859417190000022e+04	1.313608909430470817e+00
2.470878917189999993e+04	1.301775741445435841e+00
2.470898417189999964e+04	1.307369141825260428e+00
2.470918017189999955e+04	1.300843520793009134e+00
2.470937517189999926e+04	1.265440272383733245e+00
2.470957017189999897e+04	1.286849107421254246e+00
2.470976517189999868e+04	1.280764398232124179e+00
2.470996117189999859e+04	1.315968838271102115e+00
2.471015617190000194e+04	1.288069311113805071e+00
2.471035117190000165e+04	1.263302199011919313e+00
2.471054717190000156e+04	1.284774658484087340e+00
2.471074217190000127e+04	1.292898424086448728e+00
2.471093717190000098e+04	1.280984241675035662e+00
2.471113317190000089e+04	1.279715051094910905e+00
2.471132817190000060e+04	1.314494891739419913e+00
2.471152317190000031e+04	1.224994087985372460e+00
2.471171917190000022e+04	1.265128713674783967e+00
2.471191417189999993e+04	1.320081253339676408e+00
2.471210917189999964e+04	1.272066245129865436e+00
2.471230517189999955e+04	1.265671117285265268e+00
2.471250017189999926e+04	1.244780066717311229e+00
2.471269517189999897e+04	1.239309312529275786e+00
2.471289017189999868e+04	1.278963962874428262e+00
2.471308617189999859e+04	1.286942557532178455e+00
2.471328117190000194e+04	1.314014107146565635e+00
2.471347617190000165e+04	1.283159495851574405e+00
2.471367217190000156e+04	1.257069076406756025e+00
2.471386717190000127e+04	1.300120938964319350e+00
2.471406217190000098e+04	1.292193617528923255e+00
2.471425817190000089e+04	1.299567462446395538e+00
2.471445317190000060e+04	1.289758699639875772e+00
2.471464817190000031e+04	1.312491315860096819e+00
2.471484417190000022e+04	1.281370265724483204e+00
2.471503917189999993e+04	1.230704403905155786e+00
2.471523417189999964e+04	1.255332432806264720e+00
2.471543017189999955e+04	1.309426747701806448e+00
2.471562517189999926e+04	1.284157089302027543e+00
2.471582017189999897e+04	1.259315215783020747e+00
2.471601517189999868e+04	1.248250589522763576e+00
2.471621117189999859e+04	1.285954137223306759e+00
2.471640617190000194e+04	1.219681162125745288e+00
2.471660117190000165e+04	1.281008165439107671e+00
2.471679717190000156e+04	1.287187285724026964e+00
2.471699217190000127e+04	1.326896411602858095e+00
2.471718717190000098e+04	1.209837178652779954e+00
2.471738317190000089e+04	1.233972728239729477e+00
2.471757817190000060e+04	1.303447243346322892e+00
2.471777317190000031e+04	1.293019775414743222e+00
2.471796917190000022e+04	1.267155224933206981e+00
2.471816417189999993e+04	1.283136599487182394e+00
2.471835917189999964e+04	1.291362477145250764e+00
2.471855517189999955e+04	1.260691033892031854e+00
2.471875017189999926e+04	1.299268308209365230e+00
2.471894517189999897e+04	1.278139361720480593e+00
2.471914017189999868e+04	1.294222665382187998e+00
2.471933617189999859e+04	1.286629318812966716e+00
2.471953117190000194e+04	1.293996028746253302e+00
2.471972617190000165e+04	1.318963114952907745e+00
2.471992217190000156e+04	1.210410764625304836e+00
2.472011717190000127e+04	1.291056215169842147e+00
2.472031217190000098e+04	1.266078339271155428e+00
2.472050817190000089e+04	1.321525166453241695e+00
2.472070317190000060e+04	1.259753249143377829e+00
2.472089817190000031e+04	1.261430733790582792e+00
2.472109417190000022e+04	1.278538250116916686e+00
2.472128917189999993e+04	1.267261662607342743e+00
2.472148417189999964e+04	1.285918344540581515e+00
2.472168017189999955e+04	1.301689350391173505e+00
2.472187517189999926e+04	1.313015903741792556e+00
2.472207017189999897e+04	1.306822749316632226e+00
2.472226517189999868e+04	1.296770511905958045e+00
2.472246117189999859e+04	1.297460324687314426e+00
2.472265617190000194e+04	1.303131322300647099e+00
2.472285117190000165e+04	1.302895723185546473e+00
2.472304717190000156e+04	1.287658625896355602e+00
2.472324217190000127e+04	1.276056196438915435e+00
2.472343717190000098e+04	1.286084493883958402e+00
2.472363317190000089e+04	1.265202414268681963e+00
2.472382817190000060e+04	1.279200741966299404e+00
2.472402317190000031e+04	1.302534978800814258e+00
2.472421917190000022e+04	1.281877435984995373e+00
2.472441417189999993e+04	1.306806874555066500e+00
2.472460917189999964e+04	1.266949187585710845e+00
2.472480517189999955e+04	1.274336935519237102e+00
2.472500017189999926e+04	1.263701339025487869e+00
2.472519517189999897e+04	1.245795204103641751e+00
2.472539017189999868e+04	1.318434821238753329e+00
2.472558617189999859e+04	1.273068240884882130e+00
2.472578117190000194e+04	1.277882661325431712e+00
2.472597617190000165e+04	1.281666657489871852e+00
2.472617217190000156e+04	1.268778411272881712e+00
2.472636717190000127e+04	1.286951526673192348e+00
2.472656217190000098e+04	1.331022769766690317e+00
2.472675817190000089e+04	1.265321856620452934e+00
2.472695317190000060e+04	1.290142444414200895e+00
2.472714817190000031e+04	1.292714559831249943e+00
2.472734417190000022e+04	1.299399530157419491e+00
2.472753917189999993e+04	1.320007809967938428e+00
2.472773417189999964e+04	1.335122743006088797e+00
2.472793017189999955e+04	1.403080825204689575e+00
2.472812517189999926e+04	1.304997337441964333e+00
2.472832017189999897e+04	1.274441374996239773e+00
2.472851517189999868e+04	1.291998730899299730e+00
2.472871117189999859e+04	1.311987707288992056e+00
2.472890617190000194e+04	1.300175748053234770e+00
2.472910117190000165e+04	1.290033120923562038e+00
