# time(sec)	crack length FEA(mm)
1.689785117190000165e+04	6.773879568911596039e-01
1.689804717190000156e+04	6.646764616501101841e-01
1.689824217190000127e+04	6.807978505366882871e-01
1.689843717190000098e+04	6.831405307423299433e-01
1.689863317190000089e+04	6.669339512789935753e-01
1.689882817190000060e+04	6.683871078094671958e-01
1.689902317190000031e+04	6.219794650354231180e-01
1.689921917190000022e+04	6.462708905379681568e-01
1.689941417189999993e+04	6.515876605464843152e-01
1.689960917189999964e+04	6.442055683366767482e-01
1.689980517189999955e+04	6.541557455722930570e-01
1.690000017189999926e+04	6.622115519487632440e-01
1.690019517189999897e+04	6.530162078812651316e-01
1.690039017189999868e+04	6.300755201166232666e-01
1.690058617189999859e+04	6.739041373331833285e-01
1.690078117190000194e+04	6.665277570866212642e-01
1.690097617190000165e+04	6.683259232807063910e-01
1.690117217190000156e+04	6.990907543272442126e-01
1.690136717190000127e+04	6.795341262635741231e-01
1.690156217190000098e+04	6.698187994549513746e-01
1.690175817190000089e+04	7.056207287494409286e-01
1.690195317190000060e+04	6.538882347141328211e-01
1.690214817190000031e+04	6.971511843795319407e-01
1.690234417190000022e+04	6.741275492119847002e-01
1.690253917189999993e+04	6.731297823703563665e-01
1.690273417189999964e+04	6.566847709998491212e-01
1.690293017189999955e+04	6.622983101870119071e-01
1.690312517189999926e+04	6.380534976971556915e-01
1.690332017189999897e+04	6.673084844469823196e-01
1.690351517189999868e+04	7.011545014500004669e-01
1.690371117189999859e+04	6.701647142662086054e-01
1.690390617190000194e+04	6.909818863591112859e-01
1.690410117190000165e+04	6.814577626511137964e-01
1.690429717190000156e+04	6.489028567047192553e-01
1.690449217190000127e+04	6.735480394689492556e-01
1.690468717190000098e+04	6.961757071308838363e-01
1.690488317190000089e+04	6.854809883792114533e-01
1.690507817190000060e+04	6.577996177940885758e-01
1.690527317190000031e+04	6.704473501493168897e-01
1.690546917190000022e+04	6.986443339885166637e-01
1.690566417189999993e+04	6.564825803448659514e-01
1.690585917189999964e+04	6.574657610567058441e-01
1.690605517189999955e+04	6.713309715159372359e-01
1.690625017189999926e+04	6.892404550566730848e-01
1.690644517189999897e+04	6.413943150540664107e-01
1.690664017189999868e+04	6.691218536273524364e-01
1.690683617189999859e+04	7.018178797060752316e-01
1.690703117190000194e+04	6.260462240126596356e-01
1.690722617190000165e+04	6.441820880898401214e-01
1.690742217190000156e+04	6.842409488706806542e-01
1.690761717190000127e+04	6.679585148434856734e-01
1.690781217190000098e+04	6.212514660645052089e-01
1.690800817190000089e+04	6.510106497628527222e-01
1.690820317190000060e+04	6.585642614096105518e-01
1.690839817190000031e+04	6.884411180677787456e-01
1.690859417190000022e+04	6.563233523796654367e-01
1.690878917189999993e+04	6.715228020372556728e-01
1.690898417189999964e+04	6.638099494932703237e-01
1.690918017189999955e+04	6.559322940472718244e-01
1.690937517189999926e+04	6.483125528767157419e-01
1.690957017189999897e+04	6.463454575505842570e-01
1.690976517189999868e+04	6.577965309337141520e-01
1.690996117189999859e+04	6.239730692623446373e-01
1.691015617190000194e+04	6.649867068234662781e-01
1.691035117190000165e+04	6.879067932547435760e-01
1.691054717190000156e+04	6.135942893030428280e-01
1.691074217190000127e+04	6.519052211777349726e-01
1.691093717190000098e+04	6.778612906811414263e-01
1.691113317190000089e+04	6.471134959233992845e-01
1.691132817190000060e+04	6.325528961768096536e-01
1.691152317190000031e+04	6.945937403540991539e-01
1.691171917190000022e+04	6.516754390235757199e-01
1.691191417189999993e+04	6.207351473205804382e-01
1.691210917189999964e+04	5.988755120500144358e-01
1.691230517189999955e+04	6.529815001804362140e-01
1.691250017189999926e+04	6.299017915739941742e-01
1.691269517189999897e+04	6.151059170382762176e-01
1.691289017189999868e+04	6.306346071924124885e-01
1.691308617189999859e+04	6.757333061644281713e-01
1.691328117190000194e+04	6.572901840783131888e-01
1.691347617190000165e+04	6.264305964124190496e-01
1.691367217190000156e+04	6.916119139530252369e-01
