# time(sec)	crack length FEA(mm)
2.832421921870000006e+04	1.227587587446370421e+00
2.832441421869999976e+04	1.239853273995418448e+00
2.832460921869999947e+04	1.248028935515021587e+00
2.832480421869999918e+04	1.255585165722298058e+00
2.832500021869999910e+04	1.245931361369880364e+00
2.832519521869999880e+04	1.220728310742851264e+00
2.832539021869999851e+04	1.234003351271175219e+00
2.832558621869999843e+04	1.258386776875621393e+00
2.832578121869999813e+04	1.262118917036659127e+00
2.832597621869999784e+04	1.258738593093742253e+00
2.832617221870000139e+04	1.243374414388123128e+00
2.832636721870000110e+04	1.230477686650745639e+00
2.832656221870000081e+04	1.229901926794356726e+00
2.832675821870000073e+04	1.251706620904123213e+00
2.832695321870000043e+04	1.293500009485109459e+00
2.832714821870000014e+04	1.261162023564789791e+00
2.832734421870000006e+04	1.271193475049054555e+00
2.832753921869999976e+04	1.266908772445468401e+00
2.832773421869999947e+04	1.300302876044522549e+00
2.832792921869999918e+04	1.310532128057255719e+00
2.832812521869999910e+04	1.353746816666257402e+00
2.832832021869999880e+04	1.358974865248326225e+00
2.832851521869999851e+04	1.354526174759133283e+00
2.832871121869999843e+04	1.352461800354943122e+00
2.832890621869999813e+04	1.359823293075493211e+00
2.832910121869999784e+04	1.375333614704569385e+00
2.832929721870000139e+04	1.310799275856345147e+00
2.832949221870000110e+04	1.351896392148756121e+00
2.832968721870000081e+04	1.375540142528222987e+00
2.832988321870000073e+04	1.310079491080351488e+00
2.833007821870000043e+04	1.354196480238156752e+00
2.833027321870000014e+04	1.363993964530241243e+00
2.833046921870000006e+04	1.320630476812887366e+00
2.833066421869999976e+04	1.353703394904391288e+00
2.833085921869999947e+04	1.380004352639755183e+00
2.833105421869999918e+04	1.381212468318491204e+00
2.833125021869999910e+04	1.293628472717117006e+00
2.833144521869999880e+04	1.349881342819170271e+00
2.833164021869999851e+04	1.372582131670363026e+00
2.833183621869999843e+04	1.323085855269194866e+00
2.833203121869999813e+04	1.319235062848482798e+00
2.833222621869999784e+04	1.351218097415385344e+00
2.833242221870000139e+04	1.305078819657277123e+00
2.833261721870000110e+04	1.300416884224969039e+00
2.833281221870000081e+04	1.314613206348816732e+00
2.833300821870000073e+04	1.297090839732561562e+00
2.833320321870000043e+04	1.323588920933742585e+00
2.833339821870000014e+04	1.340178260697154400e+00
2.833359421870000006e+04	1.344769142395991324e+00
2.833378921869999976e+04	1.337141313409446752e+00
2.833398421869999947e+04	1.264551358747070253e+00
2.833417921869999918e+04	1.325269818187591042e+00
2.833437521869999910e+04	1.330250722543770081e+00
2.833457021869999880e+04	1.336634273076137802e+00
2.833476521869999851e+04	1.339083977876727616e+00
2.833496121869999843e+04	1.353399529114838629e+00
2.833515621869999813e+04	1.335810864544678012e+00
2.833535121869999784e+04	1.313381992585822999e+00
2.833554721870000139e+04	1.319800281309362333e+00
2.833574221870000110e+04	1.346424805313716888e+00
2.833593721870000081e+04	1.310770274943687141e+00
2.833613321870000073e+04	1.292901039281677100e+00
2.833632821870000043e+04	1.339139777230320405e+00
2.833652321870000014e+04	1.310941166308229100e+00
2.833671921870000006e+04	1.317287640471288768e+00
2.833691421869999976e+04	1.348419368843192245e+00
2.833710921869999947e+04	1.305428959164640190e+00
2.833730421869999918e+04	1.309373117982747914e+00
2.833750021869999910e+04	1.321206065339698199e+00
2.833769521869999880e+04	1.358642037353723353e+00
2.833789021869999851e+04	1.338088807854173723e+00
2.833808621869999843e+04	1.307272733473123338e+00
2.833828121869999813e+04	1.291342113919922596e+00
2.833847621869999784e+04	1.344291404285408831e+00
2.833867221870000139e+04	1.326735370527911684e+00
2.833886721870000110e+04	1.335982551076138947e+00
2.833906221870000081e+04	1.338767305143163000e+00
2.833925821870000073e+04	1.369081292567614128e+00
2.833945321870000043e+04	1.335947449636009310e+00
2.833964821870000014e+04	1.329408334128519442e+00
2.833984421870000006e+04	1.384015613165354708e+00
2.834003921869999976e+04	1.315907414377537776e+00
2.834023421869999947e+04	1.336915785782855082e+00
2.834042921869999918e+04	1.383173117542231267e+00
2.834062521869999910e+04	1.389499074015258628e+00
2.834082021869999880e+04	1.353877081468679577e+00
2.834101521869999851e+04	1.337715430484710311e+00
2.834121121869999843e+04	1.376527511941706194e+00
2.834140621869999813e+04	1.366881886454054396e+00
2.834160121869999784e+04	1.309106932581142857e+00
2.834179721870000139e+04	1.350015803250478541e+00
2.834199221870000110e+04	1.343289348486100820e+00
2.834218721870000081e+04	1.330957445032661113e+00
2.834238321870000073e+04	1.360682076319401190e+00
2.834257821870000043e+04	1.378862346087865731e+00
2.834277321870000014e+04	1.335797445927378035e+00
2.834296921870000006e+04	1.325975712882748070e+00
2.834316421869999976e+04	1.327469134665346218e+00
2.834335921869999947e+04	1.339164567027903985e+00
2.834355421869999918e+04	1.312484202948564160e+00
2.834375021869999910e+04	1.305455920135115022e+00
2.834394521869999880e+04	1.354019688185513104e+00
2.834414021869999851e+04	1.317216225390156481e+00
2.834433621869999843e+04	1.326502452952890820e+00
2.834453121869999813e+04	1.347335685354051904e+00
2.834472621869999784e+04	1.337246789927313273e+00
2.834492221870000139e+04	1.318996912918644071e+00
2.834511721870000110e+04	1.324066014244785094e+00
2.834531221870000081e+04	1.380552673359826343e+00
2.834550821870000073e+04	1.381587281033962000e+00
2.834570321870000043e+04	1.351493129737669108e+00
2.834589821870000014e+04	1.396621838311434161e+00
2.834609421870000006e+04	1.346958369474972272e+00
2.834628921869999976e+04	1.344890218766831680e+00
2.834648421869999947e+04	1.330445293343036184e+00
2.834667921869999918e+04	1.389405092802032726e+00
2.834687521869999910e+04	1.350932848985447521e+00
2.834707021869999880e+04	1.378780740377285596e+00
2.834726521869999851e+04	1.327185552749774899e+00
2.834746121869999843e+04	1.369456299782338959e+00
2.834765621869999813e+04	1.288028230454942857e+00
2.834785121869999784e+04	1.339524593676845399e+00
2.834804721870000139e+04	1.321556053250789731e+00
2.834824221870000110e+04	1.366193730888570101e+00
2.834843721870000081e+04	1.364390798676812011e+00
2.834863321870000073e+04	1.332654345310986699e+00
2.834882821870000043e+04	1.339222498639003334e+00
2.834902321870000014e+04	1.300211740301664420e+00
2.834921921870000006e+04	1.325013148186812373e+00
2.834941421869999976e+04	1.368973918358321384e+00
2.834960921869999947e+04	1.329957841114776329e+00
2.834980421869999918e+04	1.294342619334896582e+00
2.835000021869999910e+04	1.316827929875110215e+00
2.835019521869999880e+04	1.342666773084054910e+00
2.835039021869999851e+04	1.340019932259110647e+00
2.835058621869999843e+04	1.330086193851450105e+00
2.835078121869999813e+04	1.324704731505388366e+00
2.835097621869999784e+04	1.356241079668617289e+00
2.835117221870000139e+04	1.289285616553010883e+00
2.835136721870000110e+04	1.360924951619811196e+00
2.835156221870000081e+04	1.332231109420282777e+00
2.835175821870000073e+04	1.323808353054339193e+00
2.835195321870000043e+04	1.318829192734673583e+00
2.835214821870000014e+04	1.307904612384383825e+00
2.835234421870000006e+04	1.290166752927961014e+00
2.835253921869999976e+04	1.293682421723641340e+00
2.835273421869999947e+04	1.308516634333221518e+00
2.835292921869999918e+04	1.309525425919106922e+00
2.835312521869999910e+04	1.313570387954019481e+00
2.835332021869999880e+04	1.300656290702789875e+00
2.835351521869999851e+04	1.334065491163180184e+00
2.835371121869999843e+04	1.357677795176925883e+00
2.835390621869999813e+04	1.336044667166682132e+00
2.835410121869999784e+04	1.350706388386544887e+00
2.835429721870000139e+04	1.305722057954866955e+00
2.835449221870000110e+04	1.331918699194016398e+00
2.835468721870000081e+04	1.352064852720218369e+00
2.835488321870000073e+04	1.323561980787175685e+00
2.835507821870000043e+04	1.311350286389153297e+00
2.835527321870000014e+04	1.290855985830237529e+00
2.835546921870000006e+04	1.294554046012898141e+00
2.835566421869999976e+04	1.338446718510773792e+00
2.835585921869999947e+04	1.326061503422224064e+00
2.835605421869999918e+04	1.305927153748516645e+00
2.835625021869999910e+04	1.331933186588171836e+00
2.835644521869999880e+04	1.348148474876115444e+00
2.835664021869999851e+04	1.308077481953910493e+00
2.835683621869999843e+04	1.309626934339602755e+00
2.835703121869999813e+04	1.334090375199977530e+00
2.835722621869999784e+04	1.312810392851439190e+00
2.835742221870000139e+04	1.327615013556322054e+00
2.835761721870000110e+04	1.364636653181378279e+00
2.835781221870000081e+04	1.350884182343449424e+00
2.835800821870000073e+04	1.281660395071869019e+00
2.835820321870000043e+04	1.352453541781422075e+00
2.835839821870000014e+04	1.331346395522949422e+00
2.835859421870000006e+04	1.332843652465466988e+00
2.835878921869999976e+04	1.304715238521254150e+00
2.835898421869999947e+04	1.319379925831702494e+00
2.835917921869999918e+04	1.374427816065216135e+00
2.835937521869999910e+04	1.333454135405375496e+00
2.835957021869999880e+04	1.318766052800162569e+00
2.835976521869999851e+04	1.342283074324512882e+00
2.835996121869999843e+04	1.352175412636871243e+00
2.836015621869999813e+04	1.300288458108752820e+00
2.836035121869999784e+04	1.357956746771531442e+00
2.836054721870000139e+04	1.333329978203368071e+00
2.836074221870000110e+04	1.320104583029076295e+00
2.836093721870000081e+04	1.330934690873665005e+00
2.836113321870000073e+04	1.350788092070832391e+00
2.836132821870000043e+04	1.355815162075860059e+00
2.836152321870000014e+04	1.287419770697699306e+00
2.836171921870000006e+04	1.322662535557983077e+00
2.836191421869999976e+04	1.356864270954211804e+00
2.836210921869999947e+04	1.343381383058000367e+00
2.836230421869999918e+04	1.317494680723319433e+00
2.836250021869999910e+04	1.332491877670236136e+00
2.836269521869999880e+04	1.347322273335420206e+00
2.836289021869999851e+04	1.295307332673893086e+00
2.836308621869999843e+04	1.326193077940370557e+00
2.836328121869999813e+04	1.362568998439035894e+00
2.836347621869999784e+04	1.331618639250640612e+00
2.836367221870000139e+04	1.327462823004850634e+00
2.836386721870000110e+04	1.356870574699245324e+00
2.836406221870000081e+04	1.384177634894358633e+00
2.836425821870000073e+04	1.345226351207259086e+00
2.836445321870000043e+04	1.328483245317126915e+00
2.836464821870000014e+04	1.380255276157116739e+00
2.836484421870000006e+04	1.348418303037000499e+00
2.836503921869999976e+04	1.341355295141216430e+00
2.836523421869999947e+04	1.324535985233822544e+00
2.836542921869999918e+04	1.366299076623729292e+00
2.836562521869999910e+04	1.344601606488378565e+00
2.836582021869999880e+04	1.307981127121838227e+00
2.836601521869999851e+04	1.328815435246573529e+00
2.836621121869999843e+04	1.347265427608279609e+00
2.836640621869999813e+04	1.346697762162216705e+00
2.836660121869999784e+04	1.339822420031161698e+00
2.836679721870000139e+04	1.385916083077681549e+00
2.836699221870000110e+04	1.330556933054335644e+00
2.836718721870000081e+04	1.323973992715984593e+00
2.836738321870000073e+04	1.378074395568473776e+00
2.836757821870000043e+04	1.349773880492721290e+00
2.836777321870000014e+04	1.305793508016041216e+00
2.836796921870000006e+04	1.337839475601443340e+00
2.836816421869999976e+04	1.330198901907856168e+00
2.836835921869999947e+04	1.292445925673209928e+00
2.836855421869999918e+04	1.308869836424920052e+00
2.836875021869999910e+04	1.396275186943093161e+00
2.836894521869999880e+04	1.311556311544974207e+00
2.836914021869999851e+04	1.309267516047240676e+00
2.836933621869999843e+04	1.310866618328219602e+00
2.836953121869999813e+04	1.340874377809871731e+00
2.836972621869999784e+04	1.315254137753329999e+00
2.836992221870000139e+04	1.331373326728000350e+00
2.837011721870000110e+04	1.373019988068724828e+00
2.837031221870000081e+04	1.380353374191216176e+00
2.837050821870000073e+04	1.299102063067525847e+00
2.837070321870000043e+04	1.340387142426230582e+00
2.837089821870000014e+04	1.307514027455386696e+00
2.837109421870000006e+04	1.289115725102396581e+00
2.837128921869999976e+04	1.332482545523197004e+00
2.837148421869999947e+04	1.322992674018335535e+00
2.837167921869999918e+04	1.317289685980998826e+00
2.837187521869999910e+04	1.279665315979851670e+00
2.837207021869999880e+04	1.315291404805506659e+00
2.837226521869999851e+04	1.336342626611230600e+00
2.837246121869999843e+04	1.341694498953721393e+00
2.837265621869999813e+04	1.317119908068484335e+00
2.837285121869999784e+04	1.342147503406316389e+00
2.837304721870000139e+04	1.284804095934990897e+00
2.837324221870000110e+04	1.282758515990360948e+00
2.837343721870000081e+04	1.276715855393577570e+00
2.837363321870000073e+04	1.352993184596469334e+00
2.837382821870000043e+04	1.340608460848478956e+00
2.837402321870000014e+04	1.320158471233165542e+00
2.837421921870000006e+04	1.295465874095549808e+00
2.837441421869999976e+04	1.325443626724611690e+00
2.837460921869999947e+04	1.321977258912173880e+00
2.837480421869999918e+04	1.316221194151591334e+00
2.837500021869999910e+04	1.354053785802335597e+00
2.837519521869999880e+04	1.298546670753626842e+00
2.837539021869999851e+04	1.290423804172636579e+00
2.837558621869999843e+04	1.340267108959205089e+00
2.837578121869999813e+04	1.302830861951287389e+00
2.837597621869999784e+04	1.287994036734382064e+00
2.837617221870000139e+04	1.332347095656487568e+00
2.837636721870000110e+04	1.310378848077240477e+00
2.837656221870000081e+04	1.341068771594216003e+00
2.837675821870000073e+04	1.263505336214429065e+00
2.837695321870000043e+04	1.278955979058469694e+00
2.837714821870000014e+04	1.324450011297733099e+00
2.837734421870000006e+04	1.321004126341643214e+00
2.837753921869999976e+04	1.319024925451824259e+00
2.837773421869999947e+04	1.326522099906380703e+00
2.837792921869999918e+04	1.326182676468173227e+00
2.837812521869999910e+04	1.299130989390757662e+00
2.837832021869999880e+04	1.312084531856118730e+00
2.837851521869999851e+04	1.318547640673944699e+00
2.837871121869999843e+04	1.318115879450312278e+00
2.837890621869999813e+04	1.278477879426379360e+00
2.837910121869999784e+04	1.343504420989457770e+00
2.837929721870000139e+04	1.322929634202624882e+00
2.837949221870000110e+04	1.311520017089161882e+00
2.837968721870000081e+04	1.259564796675805454e+00
2.837988321870000073e+04	1.288505156434329280e+00
2.838007821870000043e+04	1.316424063705291303e+00
2.838027321870000014e+04	1.341411089086365749e+00
2.838046921870000006e+04	1.296501129507699801e+00
2.838066421869999976e+04	1.327695642145659605e+00
2.838085921869999947e+04	1.343691597310927577e+00
2.838105421869999918e+04	1.329734377679244517e+00
2.838125021869999910e+04	1.317950287352998018e+00
2.838144521869999880e+04	1.310466919691279486e+00
2.838164021869999851e+04	1.285344228298857416e+00
2.838183621869999843e+04	1.284344817813289907e+00
2.838203121869999813e+04	1.304981473717997886e+00
